Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
701 Darwin,2004-08-01,9.39,701
702 Northern Territory - Outback,2004-08-01,10.19,702
801 Australian Capital Territory,2004-08-01,13.71,801
102 Central Coast,2005-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-08-01,9.68,115
116 Sydney - Blacktown,2005-08-01,6.83,116
117 Sydney - City and Inner South,2005-08-01,7.69,117
118 Sydney - Eastern Suburbs,2005-08-01,8.00,118
119 Sydney - Inner South West,2005-08-01,8.66,119
120 Sydney - Inner West,2005-08-01,6.90,120
121 Sydney - North Sydney and Hornsby,2005-08-01,6.19,121
122 Sydney - Northern Beaches,2005-08-01,6.50,122
123 Sydney - Outer South West,2005-08-01,8.88,123
124 Sydney - Outer West and Blue Mountains,2005-08-01,9.90,124
125 Sydney - Parramatta,2005-08-01,10.91,125
126 Sydney - Ryde,2005-08-01,6.05,126
127 Sydney - South West,2005-08-01,5.53,127
128 Sydney - Sutherland,2005-08-01,7.00,128
101 Capital Region,2005-08-01,8.51,101
103 New South Wales - Central West,2005-08-01,8.27,103
104 Coffs Harbour - Grafton,2005-08-01,5.53,104
105 Far West and Orana,2005-08-01,6.69,105
106 Hunter Valley exc Newcastle,2005-08-01,8.37,106
107 Illawarra,2005-08-01,7.76,107
108 Mid North Coast,2005-08-01,10.49,108
109 Murray,2005-08-01,8.84,109
110 New England and North West,2005-08-01,7.65,110
111 Newcastle and Lake Macquarie,2005-08-01,8.82,111
112 Richmond - Tweed,2005-08-01,10.12,112
113 Riverina,2005-08-01,7.55,113
114 Southern Highlands and Shoalhaven,2005-08-01,8.01,114
206 Melbourne - Inner,2005-08-01,9.04,206
207 Melbourne - Inner East,2005-08-01,9.91,207
208 Melbourne - Inner South,2005-08-01,6.90,208
209 Melbourne - North East,2005-08-01,7.68,209
210 Melbourne - North West,2005-08-01,9.63,210
211 Melbourne - Outer East,2005-08-01,9.21,211
212 Melbourne - South East,2005-08-01,8.10,212
213 Melbourne - West,2005-08-01,8.07,213
214 Mornington Peninsula,2005-08-01,7.86,214
201 Ballarat,2005-08-01,10.22,201
202 Bendigo,2005-08-01,11.08,202
203 Geelong,2005-08-01,9.01,203
204 Hume,2005-08-01,11.40,204
205 Latrobe - Gippsland,2005-08-01,9.00,205
215 Victoria - North West,2005-08-01,8.51,215
216 Shepparton,2005-08-01,7.20,216
217 Warrnambool and South West,2005-08-01,6.55,217
