Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
509 Western Australia - Wheat Belt,2004-08-01,42.29,509
601 Hobart,2004-08-01,29.14,601
602 Launceston and North East,2004-08-01,38.17,602
603 Tasmania - South East,2004-08-01,45.68,603
604 Tasmania - West and North West,2004-08-01,43.47,604
701 Darwin,2004-08-01,32.03,701
702 Northern Territory - Outback,2004-08-01,40.29,702
801 Australian Capital Territory,2004-08-01,20.03,801
102 Central Coast,2005-08-01,34.95,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-08-01,24.00,115
116 Sydney - Blacktown,2005-08-01,39.40,116
117 Sydney - City and Inner South,2005-08-01,21.60,117
118 Sydney - Eastern Suburbs,2005-08-01,18.69,118
119 Sydney - Inner South West,2005-08-01,32.20,119
120 Sydney - Inner West,2005-08-01,23.96,120
121 Sydney - North Sydney and Hornsby,2005-08-01,14.10,121
122 Sydney - Northern Beaches,2005-08-01,22.94,122
123 Sydney - Outer South West,2005-08-01,35.54,123
124 Sydney - Outer West and Blue Mountains,2005-08-01,34.60,124
125 Sydney - Parramatta,2005-08-01,35.47,125
126 Sydney - Ryde,2005-08-01,19.01,126
127 Sydney - South West,2005-08-01,44.31,127
128 Sydney - Sutherland,2005-08-01,28.70,128
101 Capital Region,2005-08-01,36.28,101
103 New South Wales - Central West,2005-08-01,37.26,103
104 Coffs Harbour - Grafton,2005-08-01,37.37,104
105 Far West and Orana,2005-08-01,35.09,105
106 Hunter Valley exc Newcastle,2005-08-01,45.25,106
107 Illawarra,2005-08-01,37.59,107
108 Mid North Coast,2005-08-01,38.70,108
109 Murray,2005-08-01,43.17,109
110 New England and North West,2005-08-01,35.94,110
111 Newcastle and Lake Macquarie,2005-08-01,31.68,111
112 Richmond - Tweed,2005-08-01,34.41,112
113 Riverina,2005-08-01,34.79,113
114 Southern Highlands and Shoalhaven,2005-08-01,36.90,114
206 Melbourne - Inner,2005-08-01,18.53,206
207 Melbourne - Inner East,2005-08-01,18.39,207
208 Melbourne - Inner South,2005-08-01,19.15,208
209 Melbourne - North East,2005-08-01,31.65,209
210 Melbourne - North West,2005-08-01,40.47,210
211 Melbourne - Outer East,2005-08-01,32.73,211
212 Melbourne - South East,2005-08-01,39.26,212
213 Melbourne - West,2005-08-01,38.43,213
214 Mornington Peninsula,2005-08-01,37.75,214
201 Ballarat,2005-08-01,37.42,201
202 Bendigo,2005-08-01,34.54,202
203 Geelong,2005-08-01,38.16,203
204 Hume,2005-08-01,36.64,204
205 Latrobe - Gippsland,2005-08-01,39.55,205
215 Victoria - North West,2005-08-01,37.26,215
216 Shepparton,2005-08-01,40.38,216
217 Warrnambool and South West,2005-08-01,39.49,217
301 Brisbane - East,2005-08-01,35.65,301
