Labour market region (SA4): ASGS (2011),date,percent part-time,sa4_code_2011
211 Melbourne - Outer East,2015-02-01,29.22,211
212 Melbourne - South East,2015-02-01,29.23,212
213 Melbourne - West,2015-02-01,35.29,213
214 Mornington Peninsula,2015-02-01,33.10,214
201 Ballarat,2015-02-01,33.33,201
202 Bendigo,2015-02-01,33.01,202
203 Geelong,2015-02-01,34.57,203
204 Hume,2015-02-01,31.19,204
205 Latrobe - Gippsland,2015-02-01,40.35,205
215 Victoria - North West,2015-02-01,35.62,215
216 Shepparton,2015-02-01,35.38,216
217 Warrnambool and South West,2015-02-01,36.64,217
301 Brisbane - East,2015-02-01,39.52,301
302 Brisbane - North,2015-02-01,36.39,302
303 Brisbane - South,2015-02-01,22.93,303
304 Brisbane - West,2015-02-01,27.29,304
305 Brisbane Inner City,2015-02-01,19.08,305
310 Ipswich,2015-02-01,14.86,310
311 Logan - Beaudesert,2015-02-01,39.81,311
313 Moreton Bay - North,2015-02-01,41.39,313
314 Moreton Bay - South,2015-02-01,40.19,314
306 Cairns,2015-02-01,29.00,306
307 Darling Downs - Maranoa,2015-02-01,35.06,307
308 Fitzroy,2015-02-01,46.70,308
309 Gold Coast,2015-02-01,40.37,309
312 Mackay,2015-02-01,31.19,312
315 Queensland - Outback,2015-02-01,50.65,315
316 Sunshine Coast,2015-02-01,37.42,316
317 Toowoomba,2015-02-01,33.42,317
318 Townsville,2015-02-01,39.60,318
319 Wide Bay,2015-02-01,39.97,319
401 Adelaide - Central and Hills,2015-02-01,33.19,401
402 Adelaide - North,2015-02-01,20.01,402
403 Adelaide - South,2015-02-01,36.12,403
404 Adelaide - West,2015-02-01,29.74,404
405 Barossa - Yorke - Mid North,2015-02-01,31.41,405
406 South Australia - Outback,2015-02-01,36.49,406
407 South Australia - South East,2015-02-01,41.64,407
502 Mandurah,2015-02-01,39.06,502
503 Perth - Inner,2015-02-01,47.61,503
504 Perth - North East,2015-02-01,15.15,504
505 Perth - North West,2015-02-01,35.91,505
506 Perth - South East,2015-02-01,32.80,506
507 Perth - South West,2015-02-01,33.87,507
501 Bunbury,2015-02-01,35.25,501
508 Western Australia - Outback,2015-02-01,40.65,508
509 Western Australia - Wheat Belt,2015-02-01,51.83,509
601 Hobart,2015-02-01,37.43,601
602 Launceston and North East,2015-02-01,29.09,602
603 Tasmania - South East,2015-02-01,35.15,603
604 Tasmania - West and North West,2015-02-01,39.58,604
701 Darwin,2015-02-01,39.36,701
702 Northern Territory - Outback,2015-02-01,31.57,702
801 Australian Capital Territory,2015-02-01,31.51,801
102 Central Coast,2016-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-02-01,33.34,115
116 Sydney - Blacktown,2016-02-01,22.20,116
117 Sydney - City and Inner South,2016-02-01,33.77,117
118 Sydney - Eastern Suburbs,2016-02-01,13.63,118
119 Sydney - Inner South West,2016-02-01,13.20,119
120 Sydney - Inner West,2016-02-01,29.38,120
121 Sydney - North Sydney and Hornsby,2016-02-01,16.53,121
122 Sydney - Northern Beaches,2016-02-01,11.05,122
123 Sydney - Outer South West,2016-02-01,19.57,123
124 Sydney - Outer West and Blue Mountains,2016-02-01,35.31,124
125 Sydney - Parramatta,2016-02-01,33.04,125
126 Sydney - Ryde,2016-02-01,30.10,126
127 Sydney - South West,2016-02-01,13.35,127
128 Sydney - Sutherland,2016-02-01,40.65,128
101 Capital Region,2016-02-01,25.41,101
103 New South Wales - Central West,2016-02-01,31.60,103
104 Coffs Harbour - Grafton,2016-02-01,36.57,104
105 Far West and Orana,2016-02-01,35.43,105
106 Hunter Valley exc Newcastle,2016-02-01,31.84,106
107 Illawarra,2016-02-01,43.79,107
108 Mid North Coast,2016-02-01,30.24,108
109 Murray,2016-02-01,31.24,109
110 New England and North West,2016-02-01,41.84,110
111 Newcastle and Lake Macquarie,2016-02-01,43.95,111
112 Richmond - Tweed,2016-02-01,32.70,112
113 Riverina,2016-02-01,32.23,113
114 Southern Highlands and Shoalhaven,2016-02-01,31.39,114
206 Melbourne - Inner,2016-02-01,37.31,206
207 Melbourne - Inner East,2016-02-01,14.37,207
208 Melbourne - Inner South,2016-02-01,14.13,208
209 Melbourne - North East,2016-02-01,17.57,209
210 Melbourne - North West,2016-02-01,28.72,210
211 Melbourne - Outer East,2016-02-01,35.03,211
212 Melbourne - South East,2016-02-01,31.24,212
213 Melbourne - West,2016-02-01,38.56,213
214 Mornington Peninsula,2016-02-01,33.93,214
201 Ballarat,2016-02-01,31.38,201
202 Bendigo,2016-02-01,34.11,202
203 Geelong,2016-02-01,38.50,203
204 Hume,2016-02-01,32.67,204
205 Latrobe - Gippsland,2016-02-01,31.01,205
215 Victoria - North West,2016-02-01,35.77,215
216 Shepparton,2016-02-01,38.77,216
217 Warrnambool and South West,2016-02-01,36.14,217
301 Brisbane - East,2016-02-01,37.30,301
302 Brisbane - North,2016-02-01,33.38,302
303 Brisbane - South,2016-02-01,24.36,303
304 Brisbane - West,2016-02-01,23.13,304
305 Brisbane Inner City,2016-02-01,15.05,305
310 Ipswich,2016-02-01,20.80,310
311 Logan - Beaudesert,2016-02-01,38.04,311
313 Moreton Bay - North,2016-02-01,42.55,313
314 Moreton Bay - South,2016-02-01,38.48,314
306 Cairns,2016-02-01,28.41,306
307 Darling Downs - Maranoa,2016-02-01,36.93,307
308 Fitzroy,2016-02-01,40.51,308
309 Gold Coast,2016-02-01,40.72,309
312 Mackay,2016-02-01,31.05,312
315 Queensland - Outback,2016-02-01,49.89,315
316 Sunshine Coast,2016-02-01,39.58,316
317 Toowoomba,2016-02-01,31.47,317
318 Townsville,2016-02-01,37.40,318
319 Wide Bay,2016-02-01,34.67,319
401 Adelaide - Central and Hills,2016-02-01,36.27,401
402 Adelaide - North,2016-02-01,20.37,402
403 Adelaide - South,2016-02-01,36.77,403
404 Adelaide - West,2016-02-01,28.81,404
405 Barossa - Yorke - Mid North,2016-02-01,28.74,405
406 South Australia - Outback,2016-02-01,37.33,406
407 South Australia - South East,2016-02-01,40.99,407
502 Mandurah,2016-02-01,35.25,502
503 Perth - Inner,2016-02-01,43.85,503
504 Perth - North East,2016-02-01,18.21,504
505 Perth - North West,2016-02-01,38.59,505
506 Perth - South East,2016-02-01,31.25,506
507 Perth - South West,2016-02-01,35.76,507
501 Bunbury,2016-02-01,34.12,501
508 Western Australia - Outback,2016-02-01,39.78,508
509 Western Australia - Wheat Belt,2016-02-01,52.30,509
601 Hobart,2016-02-01,38.84,601
602 Launceston and North East,2016-02-01,28.84,602
603 Tasmania - South East,2016-02-01,36.53,603
604 Tasmania - West and North West,2016-02-01,41.90,604
701 Darwin,2016-02-01,40.71,701
702 Northern Territory - Outback,2016-02-01,35.14,702
801 Australian Capital Territory,2016-02-01,30.35,801
102 Central Coast,2000-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-05-01,38.18,115
116 Sydney - Blacktown,2000-05-01,22.98,116
117 Sydney - City and Inner South,2000-05-01,42.02,117
118 Sydney - Eastern Suburbs,2000-05-01,24.52,118
119 Sydney - Inner South West,2000-05-01,20.06,119
120 Sydney - Inner West,2000-05-01,37.78,120
121 Sydney - North Sydney and Hornsby,2000-05-01,25.12,121
122 Sydney - Northern Beaches,2000-05-01,14.88,122
123 Sydney - Outer South West,2000-05-01,22.28,123
124 Sydney - Outer West and Blue Mountains,2000-05-01,42.48,124
125 Sydney - Parramatta,2000-05-01,36.21,125
126 Sydney - Ryde,2000-05-01,34.59,126
127 Sydney - South West,2000-05-01,20.18,127
128 Sydney - Sutherland,2000-05-01,51.95,128
101 Capital Region,2000-05-01,28.31,101
103 New South Wales - Central West,2000-05-01,33.99,103
104 Coffs Harbour - Grafton,2000-05-01,37.91,104
105 Far West and Orana,2000-05-01,35.52,105
106 Hunter Valley exc Newcastle,2000-05-01,33.69,106
107 Illawarra,2000-05-01,48.23,107
108 Mid North Coast,2000-05-01,40.29,108
109 Murray,2000-05-01,42.06,109
110 New England and North West,2000-05-01,47.40,110
111 Newcastle and Lake Macquarie,2000-05-01,32.86,111
112 Richmond - Tweed,2000-05-01,37.34,112
113 Riverina,2000-05-01,37.25,113
114 Southern Highlands and Shoalhaven,2000-05-01,38.79,114
206 Melbourne - Inner,2000-05-01,39.06,206
207 Melbourne - Inner East,2000-05-01,20.51,207
208 Melbourne - Inner South,2000-05-01,21.57,208
209 Melbourne - North East,2000-05-01,21.25,209
210 Melbourne - North West,2000-05-01,36.58,210
211 Melbourne - Outer East,2000-05-01,37.58,211
212 Melbourne - South East,2000-05-01,36.13,212
213 Melbourne - West,2000-05-01,43.14,213
214 Mornington Peninsula,2000-05-01,43.04,214
201 Ballarat,2000-05-01,40.60,201
202 Bendigo,2000-05-01,39.13,202
203 Geelong,2000-05-01,36.47,203
204 Hume,2000-05-01,41.23,204
205 Latrobe - Gippsland,2000-05-01,36.30,205
215 Victoria - North West,2000-05-01,36.82,215
216 Shepparton,2000-05-01,36.44,216
217 Warrnambool and South West,2000-05-01,41.97,217
301 Brisbane - East,2000-05-01,39.37,301
302 Brisbane - North,2000-05-01,35.59,302
303 Brisbane - South,2000-05-01,32.64,303
304 Brisbane - West,2000-05-01,31.85,304
305 Brisbane Inner City,2000-05-01,17.75,305
310 Ipswich,2000-05-01,21.26,310
311 Logan - Beaudesert,2000-05-01,44.74,311
313 Moreton Bay - North,2000-05-01,49.21,313
314 Moreton Bay - South,2000-05-01,40.29,314
306 Cairns,2000-05-01,34.52,306
307 Darling Downs - Maranoa,2000-05-01,39.02,307
308 Fitzroy,2000-05-01,36.87,308
309 Gold Coast,2000-05-01,41.96,309
312 Mackay,2000-05-01,36.56,312
315 Queensland - Outback,2000-05-01,43.63,315
316 Sunshine Coast,2000-05-01,42.58,316
317 Toowoomba,2000-05-01,39.92,317
318 Townsville,2000-05-01,38.04,318
319 Wide Bay,2000-05-01,36.98,319
401 Adelaide - Central and Hills,2000-05-01,43.57,401
402 Adelaide - North,2000-05-01,25.23,402
403 Adelaide - South,2000-05-01,43.28,403
404 Adelaide - West,2000-05-01,36.48,404
405 Barossa - Yorke - Mid North,2000-05-01,38.24,405
406 South Australia - Outback,2000-05-01,39.55,406
407 South Australia - South East,2000-05-01,44.62,407
502 Mandurah,2000-05-01,43.80,502
503 Perth - Inner,2000-05-01,46.01,503
504 Perth - North East,2000-05-01,19.07,504
505 Perth - North West,2000-05-01,37.73,505
506 Perth - South East,2000-05-01,33.26,506
507 Perth - South West,2000-05-01,37.67,507
501 Bunbury,2000-05-01,34.78,501
508 Western Australia - Outback,2000-05-01,45.81,508
509 Western Australia - Wheat Belt,2000-05-01,45.34,509
601 Hobart,2000-05-01,38.35,601
602 Launceston and North East,2000-05-01,32.04,602
603 Tasmania - South East,2000-05-01,40.35,603
604 Tasmania - West and North West,2000-05-01,41.57,604
701 Darwin,2000-05-01,44.13,701
702 Northern Territory - Outback,2000-05-01,31.00,702
801 Australian Capital Territory,2000-05-01,40.50,801
102 Central Coast,2001-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-05-01,35.15,115
116 Sydney - Blacktown,2001-05-01,22.51,116
117 Sydney - City and Inner South,2001-05-01,40.75,117
118 Sydney - Eastern Suburbs,2001-05-01,24.20,118
119 Sydney - Inner South West,2001-05-01,15.49,119
120 Sydney - Inner West,2001-05-01,36.37,120
121 Sydney - North Sydney and Hornsby,2001-05-01,20.97,121
122 Sydney - Northern Beaches,2001-05-01,13.52,122
123 Sydney - Outer South West,2001-05-01,22.71,123
124 Sydney - Outer West and Blue Mountains,2001-05-01,36.42,124
125 Sydney - Parramatta,2001-05-01,40.42,125
126 Sydney - Ryde,2001-05-01,37.35,126
127 Sydney - South West,2001-05-01,24.81,127
128 Sydney - Sutherland,2001-05-01,45.20,128
101 Capital Region,2001-05-01,25.07,101
103 New South Wales - Central West,2001-05-01,38.65,103
104 Coffs Harbour - Grafton,2001-05-01,42.05,104
105 Far West and Orana,2001-05-01,30.90,105
106 Hunter Valley exc Newcastle,2001-05-01,31.64,106
107 Illawarra,2001-05-01,40.14,107
108 Mid North Coast,2001-05-01,40.07,108
109 Murray,2001-05-01,35.88,109
110 New England and North West,2001-05-01,43.55,110
111 Newcastle and Lake Macquarie,2001-05-01,37.75,111
112 Richmond - Tweed,2001-05-01,35.17,112
113 Riverina,2001-05-01,31.42,113
114 Southern Highlands and Shoalhaven,2001-05-01,37.76,114
206 Melbourne - Inner,2001-05-01,40.58,206
207 Melbourne - Inner East,2001-05-01,17.96,207
208 Melbourne - Inner South,2001-05-01,19.98,208
209 Melbourne - North East,2001-05-01,20.64,209
210 Melbourne - North West,2001-05-01,36.73,210
211 Melbourne - Outer East,2001-05-01,37.70,211
212 Melbourne - South East,2001-05-01,33.48,212
213 Melbourne - West,2001-05-01,42.62,213
214 Mornington Peninsula,2001-05-01,43.57,214
201 Ballarat,2001-05-01,39.97,201
202 Bendigo,2001-05-01,35.45,202
203 Geelong,2001-05-01,35.91,203
204 Hume,2001-05-01,39.45,204
205 Latrobe - Gippsland,2001-05-01,37.68,205
215 Victoria - North West,2001-05-01,39.05,215
216 Shepparton,2001-05-01,35.24,216
217 Warrnambool and South West,2001-05-01,43.30,217
301 Brisbane - East,2001-05-01,39.05,301
302 Brisbane - North,2001-05-01,33.19,302
303 Brisbane - South,2001-05-01,31.34,303
304 Brisbane - West,2001-05-01,28.42,304
305 Brisbane Inner City,2001-05-01,21.33,305
310 Ipswich,2001-05-01,21.67,310
311 Logan - Beaudesert,2001-05-01,46.35,311
313 Moreton Bay - North,2001-05-01,46.77,313
314 Moreton Bay - South,2001-05-01,40.58,314
306 Cairns,2001-05-01,30.49,306
307 Darling Downs - Maranoa,2001-05-01,36.64,307
308 Fitzroy,2001-05-01,36.40,308
309 Gold Coast,2001-05-01,40.55,309
312 Mackay,2001-05-01,33.70,312
315 Queensland - Outback,2001-05-01,41.01,315
316 Sunshine Coast,2001-05-01,50.82,316
317 Toowoomba,2001-05-01,36.54,317
318 Townsville,2001-05-01,37.83,318
319 Wide Bay,2001-05-01,35.98,319
401 Adelaide - Central and Hills,2001-05-01,40.49,401
402 Adelaide - North,2001-05-01,24.36,402
403 Adelaide - South,2001-05-01,42.31,403
404 Adelaide - West,2001-05-01,35.35,404
405 Barossa - Yorke - Mid North,2001-05-01,33.88,405
406 South Australia - Outback,2001-05-01,41.21,406
407 South Australia - South East,2001-05-01,42.93,407
502 Mandurah,2001-05-01,42.91,502
503 Perth - Inner,2001-05-01,44.53,503
504 Perth - North East,2001-05-01,18.29,504
505 Perth - North West,2001-05-01,35.45,505
506 Perth - South East,2001-05-01,32.22,506
507 Perth - South West,2001-05-01,35.36,507
501 Bunbury,2001-05-01,36.11,501
508 Western Australia - Outback,2001-05-01,47.32,508
509 Western Australia - Wheat Belt,2001-05-01,41.92,509
601 Hobart,2001-05-01,40.06,601
602 Launceston and North East,2001-05-01,31.00,602
603 Tasmania - South East,2001-05-01,38.30,603
604 Tasmania - West and North West,2001-05-01,43.25,604
701 Darwin,2001-05-01,42.37,701
702 Northern Territory - Outback,2001-05-01,31.33,702
801 Australian Capital Territory,2001-05-01,45.59,801
102 Central Coast,2002-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-05-01,37.80,115
116 Sydney - Blacktown,2002-05-01,22.66,116
117 Sydney - City and Inner South,2002-05-01,41.69,117
118 Sydney - Eastern Suburbs,2002-05-01,20.47,118
119 Sydney - Inner South West,2002-05-01,18.70,119
120 Sydney - Inner West,2002-05-01,36.16,120
121 Sydney - North Sydney and Hornsby,2002-05-01,22.40,121
122 Sydney - Northern Beaches,2002-05-01,13.34,122
123 Sydney - Outer South West,2002-05-01,23.82,123
124 Sydney - Outer West and Blue Mountains,2002-05-01,42.05,124
125 Sydney - Parramatta,2002-05-01,36.24,125
126 Sydney - Ryde,2002-05-01,36.58,126
127 Sydney - South West,2002-05-01,18.52,127
128 Sydney - Sutherland,2002-05-01,45.07,128
101 Capital Region,2002-05-01,25.48,101
103 New South Wales - Central West,2002-05-01,35.21,103
104 Coffs Harbour - Grafton,2002-05-01,36.24,104
105 Far West and Orana,2002-05-01,27.35,105
106 Hunter Valley exc Newcastle,2002-05-01,32.13,106
107 Illawarra,2002-05-01,43.28,107
108 Mid North Coast,2002-05-01,36.35,108
109 Murray,2002-05-01,42.28,109
110 New England and North West,2002-05-01,42.78,110
111 Newcastle and Lake Macquarie,2002-05-01,35.48,111
112 Richmond - Tweed,2002-05-01,36.38,112
113 Riverina,2002-05-01,31.96,113
114 Southern Highlands and Shoalhaven,2002-05-01,38.79,114
206 Melbourne - Inner,2002-05-01,36.54,206
207 Melbourne - Inner East,2002-05-01,16.95,207
208 Melbourne - Inner South,2002-05-01,17.27,208
209 Melbourne - North East,2002-05-01,19.95,209
210 Melbourne - North West,2002-05-01,36.18,210
211 Melbourne - Outer East,2002-05-01,40.01,211
212 Melbourne - South East,2002-05-01,34.17,212
213 Melbourne - West,2002-05-01,40.31,213
214 Mornington Peninsula,2002-05-01,41.20,214
201 Ballarat,2002-05-01,40.06,201
202 Bendigo,2002-05-01,38.71,202
203 Geelong,2002-05-01,36.02,203
204 Hume,2002-05-01,33.96,204
205 Latrobe - Gippsland,2002-05-01,37.52,205
215 Victoria - North West,2002-05-01,35.19,215
216 Shepparton,2002-05-01,33.46,216
217 Warrnambool and South West,2002-05-01,35.03,217
301 Brisbane - East,2002-05-01,37.71,301
302 Brisbane - North,2002-05-01,33.44,302
303 Brisbane - South,2002-05-01,33.87,303
304 Brisbane - West,2002-05-01,27.02,304
305 Brisbane Inner City,2002-05-01,21.08,305
310 Ipswich,2002-05-01,21.28,310
311 Logan - Beaudesert,2002-05-01,47.07,311
313 Moreton Bay - North,2002-05-01,48.48,313
314 Moreton Bay - South,2002-05-01,39.58,314
306 Cairns,2002-05-01,31.24,306
307 Darling Downs - Maranoa,2002-05-01,36.07,307
308 Fitzroy,2002-05-01,41.72,308
309 Gold Coast,2002-05-01,42.50,309
312 Mackay,2002-05-01,33.62,312
315 Queensland - Outback,2002-05-01,44.20,315
316 Sunshine Coast,2002-05-01,47.43,316
317 Toowoomba,2002-05-01,37.21,317
318 Townsville,2002-05-01,39.99,318
319 Wide Bay,2002-05-01,30.24,319
401 Adelaide - Central and Hills,2002-05-01,40.37,401
402 Adelaide - North,2002-05-01,23.96,402
403 Adelaide - South,2002-05-01,43.87,403
404 Adelaide - West,2002-05-01,33.50,404
405 Barossa - Yorke - Mid North,2002-05-01,34.26,405
406 South Australia - Outback,2002-05-01,38.34,406
407 South Australia - South East,2002-05-01,46.58,407
502 Mandurah,2002-05-01,41.13,502
503 Perth - Inner,2002-05-01,40.63,503
504 Perth - North East,2002-05-01,18.00,504
505 Perth - North West,2002-05-01,35.68,505
506 Perth - South East,2002-05-01,32.88,506
507 Perth - South West,2002-05-01,35.99,507
501 Bunbury,2002-05-01,33.83,501
508 Western Australia - Outback,2002-05-01,45.46,508
509 Western Australia - Wheat Belt,2002-05-01,44.27,509
601 Hobart,2002-05-01,34.59,601
602 Launceston and North East,2002-05-01,31.59,602
603 Tasmania - South East,2002-05-01,37.61,603
604 Tasmania - West and North West,2002-05-01,47.26,604
701 Darwin,2002-05-01,41.72,701
702 Northern Territory - Outback,2002-05-01,30.40,702
801 Australian Capital Territory,2002-05-01,42.90,801
102 Central Coast,2003-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-05-01,37.04,115
116 Sydney - Blacktown,2003-05-01,25.49,116
117 Sydney - City and Inner South,2003-05-01,36.86,117
118 Sydney - Eastern Suburbs,2003-05-01,23.62,118
119 Sydney - Inner South West,2003-05-01,16.10,119
120 Sydney - Inner West,2003-05-01,35.49,120
121 Sydney - North Sydney and Hornsby,2003-05-01,22.36,121
122 Sydney - Northern Beaches,2003-05-01,14.07,122
123 Sydney - Outer South West,2003-05-01,23.98,123
124 Sydney - Outer West and Blue Mountains,2003-05-01,39.45,124
125 Sydney - Parramatta,2003-05-01,35.15,125
126 Sydney - Ryde,2003-05-01,34.93,126
127 Sydney - South West,2003-05-01,20.31,127
128 Sydney - Sutherland,2003-05-01,45.26,128
101 Capital Region,2003-05-01,27.19,101
103 New South Wales - Central West,2003-05-01,35.69,103
104 Coffs Harbour - Grafton,2003-05-01,43.80,104
105 Far West and Orana,2003-05-01,35.64,105
106 Hunter Valley exc Newcastle,2003-05-01,38.68,106
107 Illawarra,2003-05-01,45.87,107
108 Mid North Coast,2003-05-01,36.43,108
109 Murray,2003-05-01,42.03,109
110 New England and North West,2003-05-01,41.93,110
111 Newcastle and Lake Macquarie,2003-05-01,36.66,111
112 Richmond - Tweed,2003-05-01,35.43,112
113 Riverina,2003-05-01,33.52,113
114 Southern Highlands and Shoalhaven,2003-05-01,35.37,114
206 Melbourne - Inner,2003-05-01,38.61,206
207 Melbourne - Inner East,2003-05-01,18.24,207
208 Melbourne - Inner South,2003-05-01,18.22,208
209 Melbourne - North East,2003-05-01,19.75,209
210 Melbourne - North West,2003-05-01,34.57,210
211 Melbourne - Outer East,2003-05-01,39.78,211
212 Melbourne - South East,2003-05-01,33.76,212
213 Melbourne - West,2003-05-01,40.73,213
214 Mornington Peninsula,2003-05-01,40.39,214
201 Ballarat,2003-05-01,41.67,201
202 Bendigo,2003-05-01,33.94,202
203 Geelong,2003-05-01,35.02,203
204 Hume,2003-05-01,36.12,204
205 Latrobe - Gippsland,2003-05-01,37.42,205
215 Victoria - North West,2003-05-01,38.49,215
216 Shepparton,2003-05-01,30.86,216
217 Warrnambool and South West,2003-05-01,38.62,217
301 Brisbane - East,2003-05-01,37.96,301
302 Brisbane - North,2003-05-01,36.08,302
303 Brisbane - South,2003-05-01,33.27,303
304 Brisbane - West,2003-05-01,28.18,304
305 Brisbane Inner City,2003-05-01,17.03,305
310 Ipswich,2003-05-01,17.65,310
311 Logan - Beaudesert,2003-05-01,43.94,311
313 Moreton Bay - North,2003-05-01,45.62,313
314 Moreton Bay - South,2003-05-01,41.73,314
306 Cairns,2003-05-01,31.81,306
307 Darling Downs - Maranoa,2003-05-01,34.51,307
308 Fitzroy,2003-05-01,34.76,308
309 Gold Coast,2003-05-01,43.08,309
312 Mackay,2003-05-01,33.14,312
315 Queensland - Outback,2003-05-01,43.88,315
316 Sunshine Coast,2003-05-01,43.14,316
317 Toowoomba,2003-05-01,35.37,317
318 Townsville,2003-05-01,42.01,318
319 Wide Bay,2003-05-01,35.10,319
401 Adelaide - Central and Hills,2003-05-01,35.45,401
402 Adelaide - North,2003-05-01,22.78,402
403 Adelaide - South,2003-05-01,42.75,403
404 Adelaide - West,2003-05-01,34.33,404
405 Barossa - Yorke - Mid North,2003-05-01,33.71,405
406 South Australia - Outback,2003-05-01,39.45,406
407 South Australia - South East,2003-05-01,47.97,407
502 Mandurah,2003-05-01,41.49,502
503 Perth - Inner,2003-05-01,47.24,503
504 Perth - North East,2003-05-01,15.41,504
505 Perth - North West,2003-05-01,34.63,505
506 Perth - South East,2003-05-01,31.98,506
507 Perth - South West,2003-05-01,33.83,507
501 Bunbury,2003-05-01,34.28,501
508 Western Australia - Outback,2003-05-01,43.93,508
509 Western Australia - Wheat Belt,2003-05-01,48.63,509
601 Hobart,2003-05-01,35.54,601
602 Launceston and North East,2003-05-01,30.81,602
603 Tasmania - South East,2003-05-01,38.20,603
604 Tasmania - West and North West,2003-05-01,44.53,604
701 Darwin,2003-05-01,43.68,701
702 Northern Territory - Outback,2003-05-01,30.82,702
801 Australian Capital Territory,2003-05-01,41.21,801
102 Central Coast,2004-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-05-01,37.13,115
116 Sydney - Blacktown,2004-05-01,25.20,116
117 Sydney - City and Inner South,2004-05-01,42.43,117
118 Sydney - Eastern Suburbs,2004-05-01,21.48,118
119 Sydney - Inner South West,2004-05-01,16.26,119
120 Sydney - Inner West,2004-05-01,36.12,120
121 Sydney - North Sydney and Hornsby,2004-05-01,21.65,121
122 Sydney - Northern Beaches,2004-05-01,14.96,122
123 Sydney - Outer South West,2004-05-01,23.59,123
124 Sydney - Outer West and Blue Mountains,2004-05-01,39.94,124
125 Sydney - Parramatta,2004-05-01,33.09,125
126 Sydney - Ryde,2004-05-01,36.15,126
127 Sydney - South West,2004-05-01,16.11,127
128 Sydney - Sutherland,2004-05-01,41.43,128
101 Capital Region,2004-05-01,28.96,101
103 New South Wales - Central West,2004-05-01,36.81,103
104 Coffs Harbour - Grafton,2004-05-01,41.01,104
105 Far West and Orana,2004-05-01,38.58,105
106 Hunter Valley exc Newcastle,2004-05-01,31.53,106
107 Illawarra,2004-05-01,40.99,107
108 Mid North Coast,2004-05-01,38.95,108
109 Murray,2004-05-01,35.61,109
110 New England and North West,2004-05-01,35.53,110
111 Newcastle and Lake Macquarie,2004-05-01,33.46,111
112 Richmond - Tweed,2004-05-01,35.48,112
113 Riverina,2004-05-01,33.46,113
114 Southern Highlands and Shoalhaven,2004-05-01,37.97,114
206 Melbourne - Inner,2004-05-01,37.50,206
207 Melbourne - Inner East,2004-05-01,18.40,207
208 Melbourne - Inner South,2004-05-01,17.79,208
209 Melbourne - North East,2004-05-01,18.73,209
210 Melbourne - North West,2004-05-01,32.59,210
211 Melbourne - Outer East,2004-05-01,41.91,211
212 Melbourne - South East,2004-05-01,35.39,212
213 Melbourne - West,2004-05-01,40.63,213
214 Mornington Peninsula,2004-05-01,40.67,214
201 Ballarat,2004-05-01,36.17,201
202 Bendigo,2004-05-01,42.42,202
203 Geelong,2004-05-01,33.26,203
204 Hume,2004-05-01,40.93,204
205 Latrobe - Gippsland,2004-05-01,37.88,205
215 Victoria - North West,2004-05-01,35.19,215
216 Shepparton,2004-05-01,34.25,216
217 Warrnambool and South West,2004-05-01,34.10,217
301 Brisbane - East,2004-05-01,39.80,301
302 Brisbane - North,2004-05-01,39.48,302
303 Brisbane - South,2004-05-01,31.29,303
304 Brisbane - West,2004-05-01,27.98,304
305 Brisbane Inner City,2004-05-01,20.44,305
310 Ipswich,2004-05-01,16.67,310
311 Logan - Beaudesert,2004-05-01,44.69,311
313 Moreton Bay - North,2004-05-01,48.05,313
314 Moreton Bay - South,2004-05-01,41.04,314
306 Cairns,2004-05-01,38.10,306
307 Darling Downs - Maranoa,2004-05-01,36.40,307
308 Fitzroy,2004-05-01,36.35,308
309 Gold Coast,2004-05-01,43.08,309
312 Mackay,2004-05-01,32.36,312
315 Queensland - Outback,2004-05-01,42.12,315
316 Sunshine Coast,2004-05-01,44.72,316
317 Toowoomba,2004-05-01,33.12,317
318 Townsville,2004-05-01,34.94,318
319 Wide Bay,2004-05-01,39.77,319
401 Adelaide - Central and Hills,2004-05-01,39.85,401
402 Adelaide - North,2004-05-01,22.03,402
403 Adelaide - South,2004-05-01,43.07,403
404 Adelaide - West,2004-05-01,33.00,404
405 Barossa - Yorke - Mid North,2004-05-01,34.52,405
406 South Australia - Outback,2004-05-01,38.30,406
407 South Australia - South East,2004-05-01,42.90,407
502 Mandurah,2004-05-01,41.71,502
503 Perth - Inner,2004-05-01,50.43,503
504 Perth - North East,2004-05-01,14.86,504
505 Perth - North West,2004-05-01,35.02,505
506 Perth - South East,2004-05-01,31.76,506
507 Perth - South West,2004-05-01,37.42,507
501 Bunbury,2004-05-01,32.71,501
508 Western Australia - Outback,2004-05-01,47.62,508
509 Western Australia - Wheat Belt,2004-05-01,43.11,509
601 Hobart,2004-05-01,40.90,601
602 Launceston and North East,2004-05-01,29.40,602
603 Tasmania - South East,2004-05-01,39.10,603
604 Tasmania - West and North West,2004-05-01,44.96,604
701 Darwin,2004-05-01,43.00,701
702 Northern Territory - Outback,2004-05-01,32.55,702
801 Australian Capital Territory,2004-05-01,41.33,801
102 Central Coast,2005-05-01,100.00,102
