Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
115 Sydney - Baulkham Hills and Hawkesbury,2005-08-01,0.2976,115
116 Sydney - Blacktown,2005-08-01,0.293,116
117 Sydney - City and Inner South,2005-08-01,0.2798,117
118 Sydney - Eastern Suburbs,2005-08-01,0.2218,118
119 Sydney - Inner South West,2005-08-01,0.3097,119
120 Sydney - Inner West,2005-08-01,0.2398,120
121 Sydney - North Sydney and Hornsby,2005-08-01,0.2712,121
122 Sydney - Northern Beaches,2005-08-01,0.2408,122
123 Sydney - Outer South West,2005-08-01,0.2804,123
124 Sydney - Outer West and Blue Mountains,2005-08-01,0.2794,124
125 Sydney - Parramatta,2005-08-01,0.2802,125
126 Sydney - Ryde,2005-08-01,0.2806,126
127 Sydney - South West,2005-08-01,0.2639,127
128 Sydney - Sutherland,2005-08-01,0.3051,128
101 Capital Region,2005-08-01,0.256,101
103 New South Wales - Central West,2005-08-01,0.2623,103
104 Coffs Harbour - Grafton,2005-08-01,0.2958,104
105 Far West and Orana,2005-08-01,0.1997,105
106 Hunter Valley exc Newcastle,2005-08-01,0.2673,106
107 Illawarra,2005-08-01,0.224,107
108 Mid North Coast,2005-08-01,0.2447,108
109 Murray,2005-08-01,0.2248,109
110 New England and North West,2005-08-01,0.235,110
111 Newcastle and Lake Macquarie,2005-08-01,0.2528,111
