Labour market region (SA4): ASGS (2011),date,percent parttime,sa4_code_2011
122 Sydney - Northern Beaches,2001-05-01,0.2663,122
123 Sydney - Outer South West,2001-05-01,0.2957,123
124 Sydney - Outer West and Blue Mountains,2001-05-01,0.3249,124
125 Sydney - Parramatta,2001-05-01,0.2749,125
126 Sydney - Ryde,2001-05-01,0.3066,126
127 Sydney - South West,2001-05-01,0.2866,127
128 Sydney - Sutherland,2001-05-01,0.3024,128
101 Capital Region,2001-05-01,0.331,101
103 New South Wales - Central West,2001-05-01,0.2342,103
104 Coffs Harbour - Grafton,2001-05-01,0.2406,104
105 Far West and Orana,2001-05-01,0.2843,105
106 Hunter Valley exc Newcastle,2001-05-01,0.1406,106
107 Illawarra,2001-05-01,0.2764,107
108 Mid North Coast,2001-05-01,0.2697,108
109 Murray,2001-05-01,0.2965,109
110 New England and North West,2001-05-01,0.2317,110
111 Newcastle and Lake Macquarie,2001-05-01,0.2069,111
112 Richmond - Tweed,2001-05-01,0.2808,112
113 Riverina,2001-05-01,0.2442,113
114 Southern Highlands and Shoalhaven,2001-05-01,0.2357,114
206 Melbourne - Inner,2001-05-01,0.2596,206
207 Melbourne - Inner East,2001-05-01,0.2336,207
208 Melbourne - Inner South,2001-05-01,0.2587,208
209 Melbourne - North East,2001-05-01,0.2865,209
210 Melbourne - North West,2001-05-01,0.2753,210
211 Melbourne - Outer East,2001-05-01,0.3046,211
212 Melbourne - South East,2001-05-01,0.2984,212
213 Melbourne - West,2001-05-01,0.2748,213
214 Mornington Peninsula,2001-05-01,0.258,214
201 Ballarat,2001-05-01,0.2663,201
202 Bendigo,2001-05-01,0.2354,202
203 Geelong,2001-05-01,0.2674,203
204 Hume,2001-05-01,0.2537,204
205 Latrobe - Gippsland,2001-05-01,0.2437,205
215 Victoria - North West,2001-05-01,0.208,215
216 Shepparton,2001-05-01,0.1998,216
217 Warrnambool and South West,2001-05-01,0.1799,217
301 Brisbane - East,2001-05-01,0.1708,301
302 Brisbane - North,2001-05-01,0.3277,302
303 Brisbane - South,2001-05-01,0.3427,303
304 Brisbane - West,2001-05-01,0.326,304
305 Brisbane Inner City,2001-05-01,0.2849,305
310 Ipswich,2001-05-01,0.282,310
311 Logan - Beaudesert,2001-05-01,0.2504,311
313 Moreton Bay - North,2001-05-01,0.2746,313
314 Moreton Bay - South,2001-05-01,0.3129,314
306 Cairns,2001-05-01,0.3146,306
307 Darling Downs - Maranoa,2001-05-01,0.2498,307
308 Fitzroy,2001-05-01,0.198,308
309 Gold Coast,2001-05-01,0.2342,309
312 Mackay,2001-05-01,0.3203,312
315 Queensland - Outback,2001-05-01,0.2398,315
316 Sunshine Coast,2001-05-01,0.1752,316
317 Toowoomba,2001-05-01,0.2574,317
318 Townsville,2001-05-01,0.2867,318
319 Wide Bay,2001-05-01,0.2457,319
401 Adelaide - Central and Hills,2001-05-01,0.1966,401
402 Adelaide - North,2001-05-01,0.2711,402
403 Adelaide - South,2001-05-01,0.2873,403
404 Adelaide - West,2001-05-01,0.2722,404
405 Barossa - Yorke - Mid North,2001-05-01,0.2939,405
406 South Australia - Outback,2001-05-01,0.1646,406
407 South Australia - South East,2001-05-01,0.1871,407
502 Mandurah,2001-05-01,0.1842,502
503 Perth - Inner,2001-05-01,0.1998,503
504 Perth - North East,2001-05-01,0.2377,504
505 Perth - North West,2001-05-01,0.3077,505
506 Perth - South East,2001-05-01,0.3168,506
507 Perth - South West,2001-05-01,0.3145,507
501 Bunbury,2001-05-01,0.2689,501
508 Western Australia - Outback,2001-05-01,0.2376,508
509 Western Australia - Wheat Belt,2001-05-01,0.2263,509
601 Hobart,2001-05-01,0.1796,601
602 Launceston and North East,2001-05-01,0.3059,602
603 Tasmania - South East,2001-05-01,0.2536,603
604 Tasmania - West and North West,2001-05-01,0.2236,604
701 Darwin,2001-05-01,0.2445,701
702 Northern Territory - Outback,2001-05-01,0.2924,702
801 Australian Capital Territory,2001-05-01,0.16,801
102 Central Coast,2002-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-05-01,0.2648,115
116 Sydney - Blacktown,2002-05-01,0.2786,116
117 Sydney - City and Inner South,2002-05-01,0.3139,117
118 Sydney - Eastern Suburbs,2002-05-01,0.2777,118
119 Sydney - Inner South West,2002-05-01,0.2475,119
120 Sydney - Inner West,2002-05-01,0.2845,120
121 Sydney - North Sydney and Hornsby,2002-05-01,0.2402,121
122 Sydney - Northern Beaches,2002-05-01,0.2564,122
123 Sydney - Outer South West,2002-05-01,0.3015,123
124 Sydney - Outer West and Blue Mountains,2002-05-01,0.2823,124
125 Sydney - Parramatta,2002-05-01,0.3033,125
126 Sydney - Ryde,2002-05-01,0.3068,126
127 Sydney - South West,2002-05-01,0.314,127
128 Sydney - Sutherland,2002-05-01,0.2851,128
101 Capital Region,2002-05-01,0.3036,101
103 New South Wales - Central West,2002-05-01,0.2287,103
104 Coffs Harbour - Grafton,2002-05-01,0.2328,104
105 Far West and Orana,2002-05-01,0.2523,105
106 Hunter Valley exc Newcastle,2002-05-01,0.1638,106
107 Illawarra,2002-05-01,0.2326,107
108 Mid North Coast,2002-05-01,0.2463,108
109 Murray,2002-05-01,0.2509,109
110 New England and North West,2002-05-01,0.2812,110
111 Newcastle and Lake Macquarie,2002-05-01,0.1919,111
112 Richmond - Tweed,2002-05-01,0.2779,112
113 Riverina,2002-05-01,0.2769,113
114 Southern Highlands and Shoalhaven,2002-05-01,0.2195,114
206 Melbourne - Inner,2002-05-01,0.243,206
207 Melbourne - Inner East,2002-05-01,0.242,207
208 Melbourne - Inner South,2002-05-01,0.2544,208
209 Melbourne - North East,2002-05-01,0.269,209
210 Melbourne - North West,2002-05-01,0.2693,210
211 Melbourne - Outer East,2002-05-01,0.2918,211
212 Melbourne - South East,2002-05-01,0.2986,212
213 Melbourne - West,2002-05-01,0.2797,213
214 Mornington Peninsula,2002-05-01,0.2817,214
201 Ballarat,2002-05-01,0.254,201
202 Bendigo,2002-05-01,0.2072,202
203 Geelong,2002-05-01,0.2411,203
204 Hume,2002-05-01,0.2564,204
205 Latrobe - Gippsland,2002-05-01,0.1944,205
215 Victoria - North West,2002-05-01,0.2255,215
216 Shepparton,2002-05-01,0.2147,216
217 Warrnambool and South West,2002-05-01,0.2402,217
301 Brisbane - East,2002-05-01,0.174,301
302 Brisbane - North,2002-05-01,0.3103,302
303 Brisbane - South,2002-05-01,0.3259,303
304 Brisbane - West,2002-05-01,0.3298,304
305 Brisbane Inner City,2002-05-01,0.3029,305
310 Ipswich,2002-05-01,0.247,310
311 Logan - Beaudesert,2002-05-01,0.2216,311
313 Moreton Bay - North,2002-05-01,0.2727,313
314 Moreton Bay - South,2002-05-01,0.2875,314
306 Cairns,2002-05-01,0.3158,306
307 Darling Downs - Maranoa,2002-05-01,0.2176,307
308 Fitzroy,2002-05-01,0.1769,308
309 Gold Coast,2002-05-01,0.2021,309
312 Mackay,2002-05-01,0.3,312
315 Queensland - Outback,2002-05-01,0.2076,315
316 Sunshine Coast,2002-05-01,0.1974,316
317 Toowoomba,2002-05-01,0.2727,317
318 Townsville,2002-05-01,0.2671,318
319 Wide Bay,2002-05-01,0.2636,319
401 Adelaide - Central and Hills,2002-05-01,0.2522,401
402 Adelaide - North,2002-05-01,0.255,402
403 Adelaide - South,2002-05-01,0.2683,403
404 Adelaide - West,2002-05-01,0.2597,404
405 Barossa - Yorke - Mid North,2002-05-01,0.286,405
406 South Australia - Outback,2002-05-01,0.1805,406
407 South Australia - South East,2002-05-01,0.1928,407
502 Mandurah,2002-05-01,0.188,502
503 Perth - Inner,2002-05-01,0.2651,503
504 Perth - North East,2002-05-01,0.2342,504
505 Perth - North West,2002-05-01,0.2938,505
506 Perth - South East,2002-05-01,0.2959,506
507 Perth - South West,2002-05-01,0.2966,507
501 Bunbury,2002-05-01,0.2814,501
508 Western Australia - Outback,2002-05-01,0.2526,508
509 Western Australia - Wheat Belt,2002-05-01,0.2173,509
601 Hobart,2002-05-01,0.1792,601
602 Launceston and North East,2002-05-01,0.2979,602
603 Tasmania - South East,2002-05-01,0.2578,603
604 Tasmania - West and North West,2002-05-01,0.1984,604
701 Darwin,2002-05-01,0.2278,701
702 Northern Territory - Outback,2002-05-01,0.2823,702
801 Australian Capital Territory,2002-05-01,0.1571,801
102 Central Coast,2003-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-05-01,0.293,115
116 Sydney - Blacktown,2003-05-01,0.2834,116
117 Sydney - City and Inner South,2003-05-01,0.3563,117
118 Sydney - Eastern Suburbs,2003-05-01,0.2646,118
119 Sydney - Inner South West,2003-05-01,0.2282,119
120 Sydney - Inner West,2003-05-01,0.3154,120
121 Sydney - North Sydney and Hornsby,2003-05-01,0.2886,121
122 Sydney - Northern Beaches,2003-05-01,0.2716,122
123 Sydney - Outer South West,2003-05-01,0.2914,123
124 Sydney - Outer West and Blue Mountains,2003-05-01,0.2988,124
125 Sydney - Parramatta,2003-05-01,0.2957,125
126 Sydney - Ryde,2003-05-01,0.3035,126
127 Sydney - South West,2003-05-01,0.2422,127
128 Sydney - Sutherland,2003-05-01,0.2721,128
101 Capital Region,2003-05-01,0.3075,101
103 New South Wales - Central West,2003-05-01,0.226,103
104 Coffs Harbour - Grafton,2003-05-01,0.2218,104
105 Far West and Orana,2003-05-01,0.2984,105
106 Hunter Valley exc Newcastle,2003-05-01,0.1881,106
107 Illawarra,2003-05-01,0.2528,107
108 Mid North Coast,2003-05-01,0.2506,108
109 Murray,2003-05-01,0.2403,109
110 New England and North West,2003-05-01,0.2715,110
111 Newcastle and Lake Macquarie,2003-05-01,0.2382,111
112 Richmond - Tweed,2003-05-01,0.2952,112
113 Riverina,2003-05-01,0.2553,113
114 Southern Highlands and Shoalhaven,2003-05-01,0.2306,114
206 Melbourne - Inner,2003-05-01,0.2304,206
207 Melbourne - Inner East,2003-05-01,0.2289,207
208 Melbourne - Inner South,2003-05-01,0.2801,208
209 Melbourne - North East,2003-05-01,0.2624,209
210 Melbourne - North West,2003-05-01,0.28,210
211 Melbourne - Outer East,2003-05-01,0.3157,211
212 Melbourne - South East,2003-05-01,0.3044,212
213 Melbourne - West,2003-05-01,0.2655,213
214 Mornington Peninsula,2003-05-01,0.2828,214
201 Ballarat,2003-05-01,0.2504,201
202 Bendigo,2003-05-01,0.238,202
203 Geelong,2003-05-01,0.2688,203
204 Hume,2003-05-01,0.2268,204
205 Latrobe - Gippsland,2003-05-01,0.2021,205
215 Victoria - North West,2003-05-01,0.2395,215
216 Shepparton,2003-05-01,0.2351,216
217 Warrnambool and South West,2003-05-01,0.2472,217
301 Brisbane - East,2003-05-01,0.1798,301
302 Brisbane - North,2003-05-01,0.2975,302
303 Brisbane - South,2003-05-01,0.3142,303
304 Brisbane - West,2003-05-01,0.3083,304
305 Brisbane Inner City,2003-05-01,0.3173,305
310 Ipswich,2003-05-01,0.2332,310
311 Logan - Beaudesert,2003-05-01,0.2553,311
313 Moreton Bay - North,2003-05-01,0.2742,313
314 Moreton Bay - South,2003-05-01,0.2807,314
306 Cairns,2003-05-01,0.3422,306
307 Darling Downs - Maranoa,2003-05-01,0.268,307
308 Fitzroy,2003-05-01,0.1893,308
309 Gold Coast,2003-05-01,0.2066,309
312 Mackay,2003-05-01,0.3172,312
315 Queensland - Outback,2003-05-01,0.2581,315
316 Sunshine Coast,2003-05-01,0.1759,316
317 Toowoomba,2003-05-01,0.2584,317
318 Townsville,2003-05-01,0.2871,318
319 Wide Bay,2003-05-01,0.2291,319
401 Adelaide - Central and Hills,2003-05-01,0.2566,401
402 Adelaide - North,2003-05-01,0.2557,402
403 Adelaide - South,2003-05-01,0.283,403
404 Adelaide - West,2003-05-01,0.2842,404
405 Barossa - Yorke - Mid North,2003-05-01,0.2611,405
406 South Australia - Outback,2003-05-01,0.1894,406
407 South Australia - South East,2003-05-01,0.1831,407
502 Mandurah,2003-05-01,0.1738,502
503 Perth - Inner,2003-05-01,0.2161,503
504 Perth - North East,2003-05-01,0.229,504
505 Perth - North West,2003-05-01,0.2792,505
506 Perth - South East,2003-05-01,0.2935,506
507 Perth - South West,2003-05-01,0.3067,507
501 Bunbury,2003-05-01,0.2672,501
508 Western Australia - Outback,2003-05-01,0.2258,508
509 Western Australia - Wheat Belt,2003-05-01,0.2091,509
601 Hobart,2003-05-01,0.1886,601
602 Launceston and North East,2003-05-01,0.2818,602
603 Tasmania - South East,2003-05-01,0.2714,603
604 Tasmania - West and North West,2003-05-01,0.1816,604
701 Darwin,2003-05-01,0.2375,701
702 Northern Territory - Outback,2003-05-01,0.2823,702
801 Australian Capital Territory,2003-05-01,0.1826,801
102 Central Coast,2004-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-05-01,0.3107,115
116 Sydney - Blacktown,2004-05-01,0.297,116
117 Sydney - City and Inner South,2004-05-01,0.284,117
118 Sydney - Eastern Suburbs,2004-05-01,0.2629,118
119 Sydney - Inner South West,2004-05-01,0.2283,119
120 Sydney - Inner West,2004-05-01,0.2887,120
121 Sydney - North Sydney and Hornsby,2004-05-01,0.2738,121
122 Sydney - Northern Beaches,2004-05-01,0.2409,122
123 Sydney - Outer South West,2004-05-01,0.2652,123
124 Sydney - Outer West and Blue Mountains,2004-05-01,0.293,124
125 Sydney - Parramatta,2004-05-01,0.2911,125
126 Sydney - Ryde,2004-05-01,0.2803,126
127 Sydney - South West,2004-05-01,0.2655,127
128 Sydney - Sutherland,2004-05-01,0.3144,128
101 Capital Region,2004-05-01,0.2915,101
103 New South Wales - Central West,2004-05-01,0.2416,103
104 Coffs Harbour - Grafton,2004-05-01,0.2023,104
105 Far West and Orana,2004-05-01,0.2874,105
106 Hunter Valley exc Newcastle,2004-05-01,0.2046,106
107 Illawarra,2004-05-01,0.2495,107
108 Mid North Coast,2004-05-01,0.2358,108
109 Murray,2004-05-01,0.2324,109
110 New England and North West,2004-05-01,0.2388,110
111 Newcastle and Lake Macquarie,2004-05-01,0.2277,111
112 Richmond - Tweed,2004-05-01,0.2693,112
113 Riverina,2004-05-01,0.2295,113
114 Southern Highlands and Shoalhaven,2004-05-01,0.1953,114
206 Melbourne - Inner,2004-05-01,0.2688,206
207 Melbourne - Inner East,2004-05-01,0.2244,207
208 Melbourne - Inner South,2004-05-01,0.2704,208
209 Melbourne - North East,2004-05-01,0.2561,209
210 Melbourne - North West,2004-05-01,0.2938,210
211 Melbourne - Outer East,2004-05-01,0.2834,211
212 Melbourne - South East,2004-05-01,0.2845,212
213 Melbourne - West,2004-05-01,0.2793,213
214 Mornington Peninsula,2004-05-01,0.2804,214
201 Ballarat,2004-05-01,0.285,201
202 Bendigo,2004-05-01,0.208,202
203 Geelong,2004-05-01,0.2682,203
204 Hume,2004-05-01,0.227,204
205 Latrobe - Gippsland,2004-05-01,0.202,205
215 Victoria - North West,2004-05-01,0.2534,215
216 Shepparton,2004-05-01,0.1993,216
217 Warrnambool and South West,2004-05-01,0.2383,217
301 Brisbane - East,2004-05-01,0.2163,301
302 Brisbane - North,2004-05-01,0.3012,302
303 Brisbane - South,2004-05-01,0.3438,303
304 Brisbane - West,2004-05-01,0.3,304
305 Brisbane Inner City,2004-05-01,0.2943,305
310 Ipswich,2004-05-01,0.2812,310
311 Logan - Beaudesert,2004-05-01,0.2579,311
313 Moreton Bay - North,2004-05-01,0.2674,313
314 Moreton Bay - South,2004-05-01,0.267,314
306 Cairns,2004-05-01,0.3045,306
307 Darling Downs - Maranoa,2004-05-01,0.2419,307
308 Fitzroy,2004-05-01,0.1568,308
309 Gold Coast,2004-05-01,0.2405,309
312 Mackay,2004-05-01,0.312,312
315 Queensland - Outback,2004-05-01,0.2278,315
316 Sunshine Coast,2004-05-01,0.1515,316
317 Toowoomba,2004-05-01,0.2769,317
318 Townsville,2004-05-01,0.319,318
319 Wide Bay,2004-05-01,0.2722,319
401 Adelaide - Central and Hills,2004-05-01,0.2307,401
402 Adelaide - North,2004-05-01,0.2687,402
403 Adelaide - South,2004-05-01,0.2702,403
404 Adelaide - West,2004-05-01,0.2748,404
405 Barossa - Yorke - Mid North,2004-05-01,0.2938,405
406 South Australia - Outback,2004-05-01,0.1831,406
407 South Australia - South East,2004-05-01,0.1985,407
502 Mandurah,2004-05-01,0.1703,502
503 Perth - Inner,2004-05-01,0.2147,503
504 Perth - North East,2004-05-01,0.2445,504
505 Perth - North West,2004-05-01,0.2841,505
506 Perth - South East,2004-05-01,0.2783,506
507 Perth - South West,2004-05-01,0.2761,507
501 Bunbury,2004-05-01,0.2846,501
508 Western Australia - Outback,2004-05-01,0.1773,508
509 Western Australia - Wheat Belt,2004-05-01,0.201,509
601 Hobart,2004-05-01,0.1691,601
602 Launceston and North East,2004-05-01,0.2748,602
603 Tasmania - South East,2004-05-01,0.2526,603
604 Tasmania - West and North West,2004-05-01,0.1798,604
701 Darwin,2004-05-01,0.2215,701
702 Northern Territory - Outback,2004-05-01,0.2543,702
801 Australian Capital Territory,2004-05-01,0.1941,801
102 Central Coast,2005-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-05-01,0.2959,115
116 Sydney - Blacktown,2005-05-01,0.2956,116
117 Sydney - City and Inner South,2005-05-01,0.2857,117
118 Sydney - Eastern Suburbs,2005-05-01,0.2721,118
119 Sydney - Inner South West,2005-05-01,0.2125,119
120 Sydney - Inner West,2005-05-01,0.2916,120
121 Sydney - North Sydney and Hornsby,2005-05-01,0.2518,121
122 Sydney - Northern Beaches,2005-05-01,0.2642,122
123 Sydney - Outer South West,2005-05-01,0.2455,123
124 Sydney - Outer West and Blue Mountains,2005-05-01,0.2802,124
125 Sydney - Parramatta,2005-05-01,0.2776,125
126 Sydney - Ryde,2005-05-01,0.2682,126
127 Sydney - South West,2005-05-01,0.2652,127
128 Sydney - Sutherland,2005-05-01,0.2611,128
101 Capital Region,2005-05-01,0.3172,101
103 New South Wales - Central West,2005-05-01,0.2499,103
104 Coffs Harbour - Grafton,2005-05-01,0.2569,104
105 Far West and Orana,2005-05-01,0.3102,105
106 Hunter Valley exc Newcastle,2005-05-01,0.2053,106
107 Illawarra,2005-05-01,0.2572,107
108 Mid North Coast,2005-05-01,0.2226,108
109 Murray,2005-05-01,0.245,109
110 New England and North West,2005-05-01,0.228,110
111 Newcastle and Lake Macquarie,2005-05-01,0.2256,111
112 Richmond - Tweed,2005-05-01,0.2433,112
113 Riverina,2005-05-01,0.2492,113
114 Southern Highlands and Shoalhaven,2005-05-01,0.1992,114
206 Melbourne - Inner,2005-05-01,0.2579,206
207 Melbourne - Inner East,2005-05-01,0.2229,207
208 Melbourne - Inner South,2005-05-01,0.265,208
209 Melbourne - North East,2005-05-01,0.258,209
210 Melbourne - North West,2005-05-01,0.2703,210
211 Melbourne - Outer East,2005-05-01,0.2888,211
212 Melbourne - South East,2005-05-01,0.2769,212
213 Melbourne - West,2005-05-01,0.2591,213
214 Mornington Peninsula,2005-05-01,0.2771,214
201 Ballarat,2005-05-01,0.2741,201
202 Bendigo,2005-05-01,0.2256,202
203 Geelong,2005-05-01,0.2472,203
204 Hume,2005-05-01,0.2075,204
205 Latrobe - Gippsland,2005-05-01,0.1854,205
215 Victoria - North West,2005-05-01,0.2128,215
216 Shepparton,2005-05-01,0.2419,216
217 Warrnambool and South West,2005-05-01,0.2585,217
301 Brisbane - East,2005-05-01,0.184,301
302 Brisbane - North,2005-05-01,0.3125,302
303 Brisbane - South,2005-05-01,0.2952,303
304 Brisbane - West,2005-05-01,0.2971,304
305 Brisbane Inner City,2005-05-01,0.2643,305
310 Ipswich,2005-05-01,0.2594,310
311 Logan - Beaudesert,2005-05-01,0.2719,311
313 Moreton Bay - North,2005-05-01,0.2926,313
314 Moreton Bay - South,2005-05-01,0.2781,314
306 Cairns,2005-05-01,0.3138,306
307 Darling Downs - Maranoa,2005-05-01,0.271,307
308 Fitzroy,2005-05-01,0.2064,308
309 Gold Coast,2005-05-01,0.238,309
312 Mackay,2005-05-01,0.2811,312
315 Queensland - Outback,2005-05-01,0.225,315
316 Sunshine Coast,2005-05-01,0.2187,316
317 Toowoomba,2005-05-01,0.2694,317
318 Townsville,2005-05-01,0.2458,318
319 Wide Bay,2005-05-01,0.2805,319
401 Adelaide - Central and Hills,2005-05-01,0.2565,401
402 Adelaide - North,2005-05-01,0.2544,402
403 Adelaide - South,2005-05-01,0.2888,403
404 Adelaide - West,2005-05-01,0.2684,404
405 Barossa - Yorke - Mid North,2005-05-01,0.3046,405
406 South Australia - Outback,2005-05-01,0.2236,406
407 South Australia - South East,2005-05-01,0.209,407
502 Mandurah,2005-05-01,0.1926,502
503 Perth - Inner,2005-05-01,0.2525,503
504 Perth - North East,2005-05-01,0.2221,504
505 Perth - North West,2005-05-01,0.2584,505
506 Perth - South East,2005-05-01,0.2736,506
507 Perth - South West,2005-05-01,0.2787,507
501 Bunbury,2005-05-01,0.2657,501
508 Western Australia - Outback,2005-05-01,0.2359,508
509 Western Australia - Wheat Belt,2005-05-01,0.1765,509
601 Hobart,2005-05-01,0.1748,601
602 Launceston and North East,2005-05-01,0.2661,602
603 Tasmania - South East,2005-05-01,0.2436,603
604 Tasmania - West and North West,2005-05-01,0.1441,604
701 Darwin,2005-05-01,0.2034,701
702 Northern Territory - Outback,2005-05-01,0.2587,702
801 Australian Capital Territory,2005-05-01,0.2048,801
102 Central Coast,2006-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2006-05-01,0.2752,115
116 Sydney - Blacktown,2006-05-01,0.2792,116
117 Sydney - City and Inner South,2006-05-01,0.2911,117
118 Sydney - Eastern Suburbs,2006-05-01,0.2687,118
119 Sydney - Inner South West,2006-05-01,0.2209,119
120 Sydney - Inner West,2006-05-01,0.2937,120
121 Sydney - North Sydney and Hornsby,2006-05-01,0.2818,121
122 Sydney - Northern Beaches,2006-05-01,0.2802,122
123 Sydney - Outer South West,2006-05-01,0.2466,123
124 Sydney - Outer West and Blue Mountains,2006-05-01,0.3099,124
125 Sydney - Parramatta,2006-05-01,0.2606,125
126 Sydney - Ryde,2006-05-01,0.286,126
127 Sydney - South West,2006-05-01,0.2562,127
128 Sydney - Sutherland,2006-05-01,0.2811,128
101 Capital Region,2006-05-01,0.2859,101
103 New South Wales - Central West,2006-05-01,0.2536,103
104 Coffs Harbour - Grafton,2006-05-01,0.2134,104
105 Far West and Orana,2006-05-01,0.3019,105
106 Hunter Valley exc Newcastle,2006-05-01,0.2157,106
107 Illawarra,2006-05-01,0.2581,107
108 Mid North Coast,2006-05-01,0.2345,108
109 Murray,2006-05-01,0.2681,109
110 New England and North West,2006-05-01,0.1962,110
111 Newcastle and Lake Macquarie,2006-05-01,0.2517,111
112 Richmond - Tweed,2006-05-01,0.2999,112
113 Riverina,2006-05-01,0.2426,113
114 Southern Highlands and Shoalhaven,2006-05-01,0.1875,114
206 Melbourne - Inner,2006-05-01,0.2393,206
207 Melbourne - Inner East,2006-05-01,0.2313,207
208 Melbourne - Inner South,2006-05-01,0.2577,208
209 Melbourne - North East,2006-05-01,0.2615,209
210 Melbourne - North West,2006-05-01,0.2889,210
211 Melbourne - Outer East,2006-05-01,0.2733,211
212 Melbourne - South East,2006-05-01,0.278,212
213 Melbourne - West,2006-05-01,0.2758,213
214 Mornington Peninsula,2006-05-01,0.2976,214
201 Ballarat,2006-05-01,0.2772,201
202 Bendigo,2006-05-01,0.2306,202
203 Geelong,2006-05-01,0.255,203
204 Hume,2006-05-01,0.2299,204
205 Latrobe - Gippsland,2006-05-01,0.1857,205
215 Victoria - North West,2006-05-01,0.21,215
216 Shepparton,2006-05-01,0.1975,216
217 Warrnambool and South West,2006-05-01,0.2488,217
301 Brisbane - East,2006-05-01,0.1905,301
302 Brisbane - North,2006-05-01,0.3088,302
303 Brisbane - South,2006-05-01,0.2872,303
304 Brisbane - West,2006-05-01,0.2699,304
305 Brisbane Inner City,2006-05-01,0.2858,305
310 Ipswich,2006-05-01,0.2296,310
311 Logan - Beaudesert,2006-05-01,0.2454,311
313 Moreton Bay - North,2006-05-01,0.2603,313
314 Moreton Bay - South,2006-05-01,0.2729,314
306 Cairns,2006-05-01,0.3296,306
307 Darling Downs - Maranoa,2006-05-01,0.2388,307
308 Fitzroy,2006-05-01,0.2333,308
309 Gold Coast,2006-05-01,0.231,309
312 Mackay,2006-05-01,0.2797,312
315 Queensland - Outback,2006-05-01,0.2063,315
316 Sunshine Coast,2006-05-01,0.1973,316
317 Toowoomba,2006-05-01,0.2656,317
318 Townsville,2006-05-01,0.2631,318
319 Wide Bay,2006-05-01,0.2653,319
401 Adelaide - Central and Hills,2006-05-01,0.2196,401
402 Adelaide - North,2006-05-01,0.258,402
403 Adelaide - South,2006-05-01,0.2676,403
404 Adelaide - West,2006-05-01,0.263,404
405 Barossa - Yorke - Mid North,2006-05-01,0.2758,405
406 South Australia - Outback,2006-05-01,0.2196,406
407 South Australia - South East,2006-05-01,0.2093,407
502 Mandurah,2006-05-01,0.1949,502
503 Perth - Inner,2006-05-01,0.2099,503
504 Perth - North East,2006-05-01,0.1894,504
505 Perth - North West,2006-05-01,0.2626,505
506 Perth - South East,2006-05-01,0.2929,506
507 Perth - South West,2006-05-01,0.2728,507
501 Bunbury,2006-05-01,0.2641,501
508 Western Australia - Outback,2006-05-01,0.199,508
509 Western Australia - Wheat Belt,2006-05-01,0.1916,509
601 Hobart,2006-05-01,0.2062,601
602 Launceston and North East,2006-05-01,0.273,602
603 Tasmania - South East,2006-05-01,0.243,603
604 Tasmania - West and North West,2006-05-01,0.1565,604
701 Darwin,2006-05-01,0.2443,701
702 Northern Territory - Outback,2006-05-01,0.2742,702
801 Australian Capital Territory,2006-05-01,0.2359,801
102 Central Coast,2007-05-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2007-05-01,0.2843,115
116 Sydney - Blacktown,2007-05-01,0.2408,116
117 Sydney - City and Inner South,2007-05-01,0.2977,117
118 Sydney - Eastern Suburbs,2007-05-01,0.2449,118
119 Sydney - Inner South West,2007-05-01,0.223,119
120 Sydney - Inner West,2007-05-01,0.264,120
121 Sydney - North Sydney and Hornsby,2007-05-01,0.2385,121
122 Sydney - Northern Beaches,2007-05-01,0.2611,122
123 Sydney - Outer South West,2007-05-01,0.2435,123
124 Sydney - Outer West and Blue Mountains,2007-05-01,0.2822,124
125 Sydney - Parramatta,2007-05-01,0.2722,125
126 Sydney - Ryde,2007-05-01,0.2794,126
127 Sydney - South West,2007-05-01,0.242,127
128 Sydney - Sutherland,2007-05-01,0.2716,128
101 Capital Region,2007-05-01,0.2939,101
103 New South Wales - Central West,2007-05-01,0.2432,103
104 Coffs Harbour - Grafton,2007-05-01,0.2237,104
105 Far West and Orana,2007-05-01,0.2433,105
106 Hunter Valley exc Newcastle,2007-05-01,0.1794,106
107 Illawarra,2007-05-01,0.2273,107
108 Mid North Coast,2007-05-01,0.2664,108
109 Murray,2007-05-01,0.2572,109
110 New England and North West,2007-05-01,0.2571,110
111 Newcastle and Lake Macquarie,2007-05-01,0.2215,111
112 Richmond - Tweed,2007-05-01,0.2708,112
113 Riverina,2007-05-01,0.2326,113
114 Southern Highlands and Shoalhaven,2007-05-01,0.2016,114
206 Melbourne - Inner,2007-05-01,0.2152,206
207 Melbourne - Inner East,2007-05-01,0.2445,207
208 Melbourne - Inner South,2007-05-01,0.2505,208
209 Melbourne - North East,2007-05-01,0.2329,209
210 Melbourne - North West,2007-05-01,0.2818,210
211 Melbourne - Outer East,2007-05-01,0.2785,211
212 Melbourne - South East,2007-05-01,0.2698,212
213 Melbourne - West,2007-05-01,0.275,213
214 Mornington Peninsula,2007-05-01,0.2618,214
201 Ballarat,2007-05-01,0.2638,201
202 Bendigo,2007-05-01,0.2432,202
203 Geelong,2007-05-01,0.2395,203
204 Hume,2007-05-01,0.2322,204
