Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
306 Cairns,1/11/03,27.39,306
307 Darling Downs - Maranoa,1/11/03,40.31,307
308 Fitzroy,1/11/03,21.45,308
309 Gold Coast,1/11/03,25.02,309
312 Mackay,1/11/03,24.27,312
315 Queensland - Outback,1/11/03,28.19,315
316 Sunshine Coast,1/11/03,29.28,316
317 Toowoomba,1/11/03,22.26,317
318 Townsville,1/11/03,23.92,318
319 Wide Bay,1/11/03,27.05,319
401 Adelaide - Central and Hills,1/11/03,42.15,401
402 Adelaide - North,1/11/03,20.15,402
403 Adelaide - South,1/11/03,28.07,403
404 Adelaide - West,1/11/03,28.84,404
405 Barossa - Yorke - Mid North,1/11/03,36.84,405
406 South Australia - Outback,1/11/03,25.62,406
407 South Australia - South East,1/11/03,31.63,407
502 Mandurah,1/11/03,20.03,502
503 Perth - Inner,1/11/03,53.92,503
504 Perth - North East,1/11/03,25.78,504
505 Perth - North West,1/11/03,31.17,505
506 Perth - South East,1/11/03,26.34,506
507 Perth - South West,1/11/03,29.18,507
501 Bunbury,1/11/03,25.95,501
508 Western Australia - Outback,1/11/03,28.67,508
509 Western Australia - Wheat Belt,1/11/03,36.27,509
601 Hobart,1/11/03,32.49,601
602 Launceston and North East,1/11/03,26.7,602
603 Tasmania - South East,1/11/03,30.21,603
604 Tasmania - West and North West,1/11/03,25.16,604
701 Darwin,1/11/03,31.87,701
702 Northern Territory - Outback,1/11/03,25.88,702
801 Australian Capital Territory,1/11/03,43.1,801
102 Central Coast,1/11/04,25.65,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/04,39.18,115
116 Sydney - Blacktown,1/11/04,22.18,116
117 Sydney - City and Inner South,1/11/04,44.31,117
118 Sydney - Eastern Suburbs,1/11/04,52.26,118
119 Sydney - Inner South West,1/11/04,28.65,119
120 Sydney - Inner West,1/11/04,43.86,120
121 Sydney - North Sydney and Hornsby,1/11/04,53.32,121
122 Sydney - Northern Beaches,1/11/04,42.93,122
123 Sydney - Outer South West,1/11/04,25.34,123
124 Sydney - Outer West and Blue Mountains,1/11/04,27.13,124
125 Sydney - Parramatta,1/11/04,29.96,125
126 Sydney - Ryde,1/11/04,50.1,126
127 Sydney - South West,1/11/04,20.3,127
128 Sydney - Sutherland,1/11/04,31.31,128
101 Capital Region,1/11/04,30.16,101
103 New South Wales - Central West,1/11/04,31.72,103
104 Coffs Harbour - Grafton,1/11/04,28.19,104
105 Far West and Orana,1/11/04,37.77,105
106 Hunter Valley exc Newcastle,1/11/04,19.53,106
107 Illawarra,1/11/04,31.8,107
108 Mid North Coast,1/11/04,30.03,108
109 Murray,1/11/04,31.14,109
110 New England and North West,1/11/04,33.77,110
111 Newcastle and Lake Macquarie,1/11/04,29.56,111
112 Richmond - Tweed,1/11/04,32.63,112
113 Riverina,1/11/04,35.81,113
114 Southern Highlands and Shoalhaven,1/11/04,27.42,114
206 Melbourne - Inner,1/11/04,49.54,206
207 Melbourne - Inner East,1/11/04,46.52,207
208 Melbourne - Inner South,1/11/04,49.05,208
209 Melbourne - North East,1/11/04,31.74,209
210 Melbourne - North West,1/11/04,21.61,210
211 Melbourne - Outer East,1/11/04,27.74,211
212 Melbourne - South East,1/11/04,26.75,212
213 Melbourne - West,1/11/04,25.39,213
214 Mornington Peninsula,1/11/04,25.89,214
201 Ballarat,1/11/04,25.81,201
202 Bendigo,1/11/04,30.11,202
203 Geelong,1/11/04,31.21,203
204 Hume,1/11/04,33.46,204
205 Latrobe - Gippsland,1/11/04,31.94,205
215 Victoria - North West,1/11/04,37.25,215
216 Shepparton,1/11/04,32.6,216
217 Warrnambool and South West,1/11/04,31.56,217
301 Brisbane - East,1/11/04,23.17,301
302 Brisbane - North,1/11/04,28.72,302
303 Brisbane - South,1/11/04,34.45,303
304 Brisbane - West,1/11/04,48,304
305 Brisbane Inner City,1/11/04,48.76,305
310 Ipswich,1/11/04,19.16,310
311 Logan - Beaudesert,1/11/04,16.56,311
313 Moreton Bay - North,1/11/04,25.45,313
314 Moreton Bay - South,1/11/04,25.8,314
306 Cairns,1/11/04,28.1,306
307 Darling Downs - Maranoa,1/11/04,38.61,307
308 Fitzroy,1/11/04,24.54,308
309 Gold Coast,1/11/04,27.2,309
312 Mackay,1/11/04,26.53,312
315 Queensland - Outback,1/11/04,33.31,315
316 Sunshine Coast,1/11/04,25.24,316
317 Toowoomba,1/11/04,27.19,317
318 Townsville,1/11/04,24.56,318
319 Wide Bay,1/11/04,30.27,319
401 Adelaide - Central and Hills,1/11/04,44.3,401
402 Adelaide - North,1/11/04,20.16,402
403 Adelaide - South,1/11/04,30.77,403
404 Adelaide - West,1/11/04,27.65,404
405 Barossa - Yorke - Mid North,1/11/04,31.09,405
406 South Australia - Outback,1/11/04,29.16,406
407 South Australia - South East,1/11/04,33.97,407
502 Mandurah,1/11/04,18.55,502
503 Perth - Inner,1/11/04,51.23,503
504 Perth - North East,1/11/04,26.27,504
505 Perth - North West,1/11/04,29.73,505
506 Perth - South East,1/11/04,26.33,506
507 Perth - South West,1/11/04,30.22,507
501 Bunbury,1/11/04,26.3,501
508 Western Australia - Outback,1/11/04,27.09,508
509 Western Australia - Wheat Belt,1/11/04,33.95,509
601 Hobart,1/11/04,34.02,601
602 Launceston and North East,1/11/04,26.31,602
603 Tasmania - South East,1/11/04,29.83,603
604 Tasmania - West and North West,1/11/04,25.62,604
701 Darwin,1/11/04,30.13,701
702 Northern Territory - Outback,1/11/04,27.76,702
801 Australian Capital Territory,1/11/04,43.02,801
102 Central Coast,1/11/05,28.88,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/05,38.36,115
116 Sydney - Blacktown,1/11/05,23.37,116
117 Sydney - City and Inner South,1/11/05,43.29,117
118 Sydney - Eastern Suburbs,1/11/05,50.3,118
119 Sydney - Inner South West,1/11/05,29.03,119
120 Sydney - Inner West,1/11/05,45.37,120
121 Sydney - North Sydney and Hornsby,1/11/05,51.67,121
122 Sydney - Northern Beaches,1/11/05,43.95,122
123 Sydney - Outer South West,1/11/05,25,123
124 Sydney - Outer West and Blue Mountains,1/11/05,27.08,124
125 Sydney - Parramatta,1/11/05,30.63,125
126 Sydney - Ryde,1/11/05,49.33,126
127 Sydney - South West,1/11/05,23.29,127
128 Sydney - Sutherland,1/11/05,32.43,128
101 Capital Region,1/11/05,30.95,101
103 New South Wales - Central West,1/11/05,32.25,103
104 Coffs Harbour - Grafton,1/11/05,25.26,104
105 Far West and Orana,1/11/05,36.12,105
106 Hunter Valley exc Newcastle,1/11/05,21.01,106
107 Illawarra,1/11/05,29.22,107
108 Mid North Coast,1/11/05,27.97,108
109 Murray,1/11/05,26.07,109
110 New England and North West,1/11/05,31.3,110
111 Newcastle and Lake Macquarie,1/11/05,30.57,111
112 Richmond - Tweed,1/11/05,36.28,112
113 Riverina,1/11/05,36.44,113
114 Southern Highlands and Shoalhaven,1/11/05,28.94,114
206 Melbourne - Inner,1/11/05,49.77,206
207 Melbourne - Inner East,1/11/05,48.27,207
208 Melbourne - Inner South,1/11/05,45.77,208
209 Melbourne - North East,1/11/05,30.4,209
210 Melbourne - North West,1/11/05,22.01,210
211 Melbourne - Outer East,1/11/05,31.27,211
212 Melbourne - South East,1/11/05,27.15,212
213 Melbourne - West,1/11/05,24.57,213
214 Mornington Peninsula,1/11/05,24.68,214
201 Ballarat,1/11/05,29.09,201
202 Bendigo,1/11/05,32.95,202
203 Geelong,1/11/05,29.32,203
204 Hume,1/11/05,34.71,204
205 Latrobe - Gippsland,1/11/05,29.31,205
215 Victoria - North West,1/11/05,34.73,215
216 Shepparton,1/11/05,25.64,216
217 Warrnambool and South West,1/11/05,34.2,217
301 Brisbane - East,1/11/05,25.3,301
302 Brisbane - North,1/11/05,30.41,302
303 Brisbane - South,1/11/05,36.51,303
304 Brisbane - West,1/11/05,45.91,304
305 Brisbane Inner City,1/11/05,47.42,305
310 Ipswich,1/11/05,18.63,310
311 Logan - Beaudesert,1/11/05,19.1,311
313 Moreton Bay - North,1/11/05,20.99,313
314 Moreton Bay - South,1/11/05,27.67,314
306 Cairns,1/11/05,23.94,306
307 Darling Downs - Maranoa,1/11/05,32.2,307
308 Fitzroy,1/11/05,27.73,308
309 Gold Coast,1/11/05,28.88,309
312 Mackay,1/11/05,28.41,312
315 Queensland - Outback,1/11/05,25.05,315
316 Sunshine Coast,1/11/05,26.17,316
317 Toowoomba,1/11/05,28.57,317
318 Townsville,1/11/05,26.16,318
319 Wide Bay,1/11/05,29.65,319
401 Adelaide - Central and Hills,1/11/05,43.24,401
402 Adelaide - North,1/11/05,21.13,402
403 Adelaide - South,1/11/05,29.51,403
404 Adelaide - West,1/11/05,31.16,404
405 Barossa - Yorke - Mid North,1/11/05,31.82,405
406 South Australia - Outback,1/11/05,30.15,406
407 South Australia - South East,1/11/05,29.65,407
502 Mandurah,1/11/05,17.66,502
503 Perth - Inner,1/11/05,57.78,503
504 Perth - North East,1/11/05,27.52,504
505 Perth - North West,1/11/05,30.96,505
506 Perth - South East,1/11/05,27.36,506
507 Perth - South West,1/11/05,30.4,507
501 Bunbury,1/11/05,26.19,501
508 Western Australia - Outback,1/11/05,30.01,508
509 Western Australia - Wheat Belt,1/11/05,39.36,509
601 Hobart,1/11/05,33.34,601
602 Launceston and North East,1/11/05,29.99,602
603 Tasmania - South East,1/11/05,27.79,603
604 Tasmania - West and North West,1/11/05,26.89,604
701 Darwin,1/11/05,30.63,701
702 Northern Territory - Outback,1/11/05,29.15,702
801 Australian Capital Territory,1/11/05,41.39,801
102 Central Coast,1/11/06,26.05,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/06,43.33,115
116 Sydney - Blacktown,1/11/06,21.31,116
117 Sydney - City and Inner South,1/11/06,44.32,117
118 Sydney - Eastern Suburbs,1/11/06,56.51,118
119 Sydney - Inner South West,1/11/06,30.29,119
120 Sydney - Inner West,1/11/06,46.04,120
121 Sydney - North Sydney and Hornsby,1/11/06,53.75,121
122 Sydney - Northern Beaches,1/11/06,43.98,122
123 Sydney - Outer South West,1/11/06,24.71,123
124 Sydney - Outer West and Blue Mountains,1/11/06,28.53,124
125 Sydney - Parramatta,1/11/06,31.87,125
126 Sydney - Ryde,1/11/06,48.74,126
127 Sydney - South West,1/11/06,23.66,127
128 Sydney - Sutherland,1/11/06,36.55,128
101 Capital Region,1/11/06,31.03,101
103 New South Wales - Central West,1/11/06,32.8,103
104 Coffs Harbour - Grafton,1/11/06,26,104
105 Far West and Orana,1/11/06,39.07,105
106 Hunter Valley exc Newcastle,1/11/06,21.99,106
107 Illawarra,1/11/06,29.37,107
108 Mid North Coast,1/11/06,23.44,108
109 Murray,1/11/06,29.14,109
110 New England and North West,1/11/06,34.4,110
111 Newcastle and Lake Macquarie,1/11/06,28.7,111
112 Richmond - Tweed,1/11/06,30.38,112
113 Riverina,1/11/06,34.34,113
114 Southern Highlands and Shoalhaven,1/11/06,33.67,114
206 Melbourne - Inner,1/11/06,52.02,206
207 Melbourne - Inner East,1/11/06,49.78,207
208 Melbourne - Inner South,1/11/06,48.81,208
209 Melbourne - North East,1/11/06,31.22,209
210 Melbourne - North West,1/11/06,22.83,210
211 Melbourne - Outer East,1/11/06,31.14,211
212 Melbourne - South East,1/11/06,28.36,212
213 Melbourne - West,1/11/06,24.67,213
214 Mornington Peninsula,1/11/06,25.06,214
201 Ballarat,1/11/06,31.96,201
202 Bendigo,1/11/06,33.43,202
203 Geelong,1/11/06,32.54,203
204 Hume,1/11/06,29.36,204
205 Latrobe - Gippsland,1/11/06,29.31,205
215 Victoria - North West,1/11/06,39.84,215
216 Shepparton,1/11/06,30.2,216
217 Warrnambool and South West,1/11/06,35.56,217
301 Brisbane - East,1/11/06,28.55,301
302 Brisbane - North,1/11/06,26.93,302
303 Brisbane - South,1/11/06,37.39,303
304 Brisbane - West,1/11/06,44.98,304
305 Brisbane Inner City,1/11/06,51.11,305
310 Ipswich,1/11/06,19.98,310
311 Logan - Beaudesert,1/11/06,17.44,311
313 Moreton Bay - North,1/11/06,20.65,313
314 Moreton Bay - South,1/11/06,28.86,314
306 Cairns,1/11/06,26.43,306
307 Darling Downs - Maranoa,1/11/06,31.11,307
308 Fitzroy,1/11/06,22.81,308
309 Gold Coast,1/11/06,28.57,309
312 Mackay,1/11/06,26.39,312
315 Queensland - Outback,1/11/06,26.83,315
316 Sunshine Coast,1/11/06,27.58,316
317 Toowoomba,1/11/06,31.07,317
318 Townsville,1/11/06,25.03,318
319 Wide Bay,1/11/06,29.6,319
401 Adelaide - Central and Hills,1/11/06,46.06,401
402 Adelaide - North,1/11/06,21.99,402
403 Adelaide - South,1/11/06,31.92,403
404 Adelaide - West,1/11/06,30.91,404
405 Barossa - Yorke - Mid North,1/11/06,29.27,405
406 South Australia - Outback,1/11/06,25.15,406
407 South Australia - South East,1/11/06,31.33,407
502 Mandurah,1/11/06,18.93,502
503 Perth - Inner,1/11/06,55.29,503
504 Perth - North East,1/11/06,27.12,504
505 Perth - North West,1/11/06,29.14,505
506 Perth - South East,1/11/06,28.95,506
507 Perth - South West,1/11/06,28.6,507
501 Bunbury,1/11/06,27.04,501
508 Western Australia - Outback,1/11/06,29.3,508
509 Western Australia - Wheat Belt,1/11/06,30.37,509
601 Hobart,1/11/06,34.08,601
602 Launceston and North East,1/11/06,28.34,602
603 Tasmania - South East,1/11/06,34.2,603
604 Tasmania - West and North West,1/11/06,23.46,604
701 Darwin,1/11/06,30.67,701
702 Northern Territory - Outback,1/11/06,31.1,702
801 Australian Capital Territory,1/11/06,43.5,801
102 Central Coast,1/11/07,24.55,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/07,42.64,115
116 Sydney - Blacktown,1/11/07,24.55,116
117 Sydney - City and Inner South,1/11/07,49.19,117
118 Sydney - Eastern Suburbs,1/11/07,52.4,118
119 Sydney - Inner South West,1/11/07,27.16,119
120 Sydney - Inner West,1/11/07,46.17,120
121 Sydney - North Sydney and Hornsby,1/11/07,55.94,121
122 Sydney - Northern Beaches,1/11/07,44.53,122
123 Sydney - Outer South West,1/11/07,22.36,123
124 Sydney - Outer West and Blue Mountains,1/11/07,31.88,124
125 Sydney - Parramatta,1/11/07,31.54,125
126 Sydney - Ryde,1/11/07,51.25,126
127 Sydney - South West,1/11/07,20.66,127
128 Sydney - Sutherland,1/11/07,36.27,128
101 Capital Region,1/11/07,30.6,101
103 New South Wales - Central West,1/11/07,35.72,103
104 Coffs Harbour - Grafton,1/11/07,28.91,104
105 Far West and Orana,1/11/07,36.17,105
106 Hunter Valley exc Newcastle,1/11/07,21.8,106
107 Illawarra,1/11/07,24.81,107
108 Mid North Coast,1/11/07,26.46,108
109 Murray,1/11/07,27.85,109
110 New England and North West,1/11/07,38.8,110
111 Newcastle and Lake Macquarie,1/11/07,29.56,111
112 Richmond - Tweed,1/11/07,32.76,112
113 Riverina,1/11/07,31.65,113
114 Southern Highlands and Shoalhaven,1/11/07,33.12,114
206 Melbourne - Inner,1/11/07,52.1,206
207 Melbourne - Inner East,1/11/07,49.1,207
208 Melbourne - Inner South,1/11/07,47.7,208
209 Melbourne - North East,1/11/07,30.61,209
210 Melbourne - North West,1/11/07,23.25,210
211 Melbourne - Outer East,1/11/07,30.72,211
212 Melbourne - South East,1/11/07,25.95,212
213 Melbourne - West,1/11/07,25.14,213
214 Mornington Peninsula,1/11/07,28.16,214
201 Ballarat,1/11/07,25.85,201
202 Bendigo,1/11/07,29.99,202
203 Geelong,1/11/07,31.76,203
204 Hume,1/11/07,28.21,204
205 Latrobe - Gippsland,1/11/07,26.3,205
215 Victoria - North West,1/11/07,39.49,215
216 Shepparton,1/11/07,34.19,216
217 Warrnambool and South West,1/11/07,32.37,217
301 Brisbane - East,1/11/07,26.18,301
302 Brisbane - North,1/11/07,30.7,302
303 Brisbane - South,1/11/07,37.5,303
304 Brisbane - West,1/11/07,48.81,304
305 Brisbane Inner City,1/11/07,50.06,305
310 Ipswich,1/11/07,22.32,310
311 Logan - Beaudesert,1/11/07,22.24,311
313 Moreton Bay - North,1/11/07,22.23,313
314 Moreton Bay - South,1/11/07,28.09,314
306 Cairns,1/11/07,26.72,306
307 Darling Downs - Maranoa,1/11/07,35.71,307
308 Fitzroy,1/11/07,24.6,308
309 Gold Coast,1/11/07,27.36,309
312 Mackay,1/11/07,26.24,312
315 Queensland - Outback,1/11/07,29.75,315
316 Sunshine Coast,1/11/07,30.49,316
317 Toowoomba,1/11/07,30.42,317
318 Townsville,1/11/07,23.46,318
319 Wide Bay,1/11/07,27.01,319
401 Adelaide - Central and Hills,1/11/07,44.56,401
402 Adelaide - North,1/11/07,23.5,402
403 Adelaide - South,1/11/07,30.23,403
404 Adelaide - West,1/11/07,30.48,404
405 Barossa - Yorke - Mid North,1/11/07,31.63,405
406 South Australia - Outback,1/11/07,24.67,406
407 South Australia - South East,1/11/07,32.92,407
502 Mandurah,1/11/07,24.39,502
503 Perth - Inner,1/11/07,59.58,503
504 Perth - North East,1/11/07,24.84,504
505 Perth - North West,1/11/07,32.64,505
506 Perth - South East,1/11/07,30.54,506
507 Perth - South West,1/11/07,31.67,507
501 Bunbury,1/11/07,24.91,501
508 Western Australia - Outback,1/11/07,25.67,508
509 Western Australia - Wheat Belt,1/11/07,35.28,509
601 Hobart,1/11/07,33.46,601
602 Launceston and North East,1/11/07,30.25,602
603 Tasmania - South East,1/11/07,30.24,603
604 Tasmania - West and North West,1/11/07,23.36,604
701 Darwin,1/11/07,35.11,701
702 Northern Territory - Outback,1/11/07,26.44,702
801 Australian Capital Territory,1/11/07,43.85,801
102 Central Coast,1/11/08,26.91,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/08,43.14,115
116 Sydney - Blacktown,1/11/08,25.54,116
117 Sydney - City and Inner South,1/11/08,48.9,117
118 Sydney - Eastern Suburbs,1/11/08,52.84,118
119 Sydney - Inner South West,1/11/08,27.25,119
120 Sydney - Inner West,1/11/08,46.54,120
121 Sydney - North Sydney and Hornsby,1/11/08,58.48,121
122 Sydney - Northern Beaches,1/11/08,49.19,122
123 Sydney - Outer South West,1/11/08,23.81,123
124 Sydney - Outer West and Blue Mountains,1/11/08,29.5,124
125 Sydney - Parramatta,1/11/08,35,125
126 Sydney - Ryde,1/11/08,47.74,126
127 Sydney - South West,1/11/08,21.62,127
128 Sydney - Sutherland,1/11/08,37.85,128
101 Capital Region,1/11/08,37.11,101
103 New South Wales - Central West,1/11/08,22.95,103
104 Coffs Harbour - Grafton,1/11/08,30.11,104
105 Far West and Orana,1/11/08,43.05,105
106 Hunter Valley exc Newcastle,1/11/08,20.05,106
107 Illawarra,1/11/08,28.11,107
108 Mid North Coast,1/11/08,25.69,108
109 Murray,1/11/08,29.21,109
110 New England and North West,1/11/08,33.94,110
111 Newcastle and Lake Macquarie,1/11/08,31.62,111
112 Richmond - Tweed,1/11/08,30.05,112
113 Riverina,1/11/08,25.87,113
114 Southern Highlands and Shoalhaven,1/11/08,31.24,114
206 Melbourne - Inner,1/11/08,52.79,206
207 Melbourne - Inner East,1/11/08,48.37,207
208 Melbourne - Inner South,1/11/08,52.41,208
209 Melbourne - North East,1/11/08,34.04,209
210 Melbourne - North West,1/11/08,27.77,210
211 Melbourne - Outer East,1/11/08,34.18,211
212 Melbourne - South East,1/11/08,27.78,212
213 Melbourne - West,1/11/08,26.47,213
214 Mornington Peninsula,1/11/08,23.82,214
201 Ballarat,1/11/08,26.66,201
202 Bendigo,1/11/08,35.71,202
203 Geelong,1/11/08,31.01,203
204 Hume,1/11/08,28.88,204
205 Latrobe - Gippsland,1/11/08,29.94,205
215 Victoria - North West,1/11/08,29.25,215
216 Shepparton,1/11/08,33.41,216
217 Warrnambool and South West,1/11/08,29.69,217
301 Brisbane - East,1/11/08,25.42,301
302 Brisbane - North,1/11/08,30.07,302
303 Brisbane - South,1/11/08,35.17,303
304 Brisbane - West,1/11/08,52.85,304
305 Brisbane Inner City,1/11/08,50.22,305
310 Ipswich,1/11/08,22.73,310
311 Logan - Beaudesert,1/11/08,22.89,311
313 Moreton Bay - North,1/11/08,23.28,313
314 Moreton Bay - South,1/11/08,34.89,314
306 Cairns,1/11/08,21.57,306
307 Darling Downs - Maranoa,1/11/08,33.13,307
308 Fitzroy,1/11/08,24.37,308
309 Gold Coast,1/11/08,27.29,309
312 Mackay,1/11/08,27.86,312
315 Queensland - Outback,1/11/08,31.65,315
316 Sunshine Coast,1/11/08,28.41,316
317 Toowoomba,1/11/08,30.92,317
318 Townsville,1/11/08,25.36,318
319 Wide Bay,1/11/08,27.66,319
401 Adelaide - Central and Hills,1/11/08,44.97,401
402 Adelaide - North,1/11/08,25.05,402
403 Adelaide - South,1/11/08,32.23,403
404 Adelaide - West,1/11/08,30.19,404
405 Barossa - Yorke - Mid North,1/11/08,34.44,405
406 South Australia - Outback,1/11/08,31.21,406
407 South Australia - South East,1/11/08,30.6,407
502 Mandurah,1/11/08,20.36,502
503 Perth - Inner,1/11/08,54.68,503
504 Perth - North East,1/11/08,28.77,504
505 Perth - North West,1/11/08,33.58,505
506 Perth - South East,1/11/08,27.94,506
507 Perth - South West,1/11/08,32.62,507
501 Bunbury,1/11/08,23.6,501
508 Western Australia - Outback,1/11/08,28.95,508
509 Western Australia - Wheat Belt,1/11/08,32.67,509
601 Hobart,1/11/08,35.04,601
602 Launceston and North East,1/11/08,31.06,602
603 Tasmania - South East,1/11/08,30.82,603
604 Tasmania - West and North West,1/11/08,24.35,604
701 Darwin,1/11/08,32.92,701
702 Northern Territory - Outback,1/11/08,29.54,702
801 Australian Capital Territory,1/11/08,44.31,801
102 Central Coast,1/11/09,29.8,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/09,43.08,115
116 Sydney - Blacktown,1/11/09,25.63,116
117 Sydney - City and Inner South,1/11/09,53.21,117
118 Sydney - Eastern Suburbs,1/11/09,51.69,118
119 Sydney - Inner South West,1/11/09,29.57,119
120 Sydney - Inner West,1/11/09,44.57,120
121 Sydney - North Sydney and Hornsby,1/11/09,56.07,121
122 Sydney - Northern Beaches,1/11/09,42.82,122
123 Sydney - Outer South West,1/11/09,23.08,123
124 Sydney - Outer West and Blue Mountains,1/11/09,29.79,124
125 Sydney - Parramatta,1/11/09,33.22,125
126 Sydney - Ryde,1/11/09,49,126
127 Sydney - South West,1/11/09,19.31,127
128 Sydney - Sutherland,1/11/09,37.17,128
101 Capital Region,1/11/09,38.87,101
103 New South Wales - Central West,1/11/09,25.49,103
104 Coffs Harbour - Grafton,1/11/09,23.82,104
105 Far West and Orana,1/11/09,42.76,105
106 Hunter Valley exc Newcastle,1/11/09,28.54,106
107 Illawarra,1/11/09,32.43,107
108 Mid North Coast,1/11/09,31.2,108
109 Murray,1/11/09,29.86,109
110 New England and North West,1/11/09,35.77,110
111 Newcastle and Lake Macquarie,1/11/09,32.17,111
112 Richmond - Tweed,1/11/09,30.4,112
113 Riverina,1/11/09,29.58,113
114 Southern Highlands and Shoalhaven,1/11/09,28.87,114
206 Melbourne - Inner,1/11/09,52.62,206
207 Melbourne - Inner East,1/11/09,49.37,207
208 Melbourne - Inner South,1/11/09,47.32,208
209 Melbourne - North East,1/11/09,33.32,209
210 Melbourne - North West,1/11/09,24.73,210
211 Melbourne - Outer East,1/11/09,33.72,211
212 Melbourne - South East,1/11/09,29.47,212
213 Melbourne - West,1/11/09,28.15,213
214 Mornington Peninsula,1/11/09,27.57,214
201 Ballarat,1/11/09,28.4,201
202 Bendigo,1/11/09,32.15,202
203 Geelong,1/11/09,31.52,203
204 Hume,1/11/09,26.13,204
205 Latrobe - Gippsland,1/11/09,33.28,205
215 Victoria - North West,1/11/09,33.97,215
216 Shepparton,1/11/09,31.16,216
217 Warrnambool and South West,1/11/09,25.42,217
301 Brisbane - East,1/11/09,31.25,301
302 Brisbane - North,1/11/09,32.13,302
303 Brisbane - South,1/11/09,37.36,303
304 Brisbane - West,1/11/09,55.26,304
305 Brisbane Inner City,1/11/09,51.01,305
310 Ipswich,1/11/09,20.71,310
311 Logan - Beaudesert,1/11/09,20.19,311
313 Moreton Bay - North,1/11/09,23.63,313
314 Moreton Bay - South,1/11/09,33.39,314
306 Cairns,1/11/09,25.16,306
307 Darling Downs - Maranoa,1/11/09,39.31,307
308 Fitzroy,1/11/09,18.02,308
309 Gold Coast,1/11/09,27.25,309
312 Mackay,1/11/09,26.39,312
315 Queensland - Outback,1/11/09,32.63,315
316 Sunshine Coast,1/11/09,32.65,316
317 Toowoomba,1/11/09,31.87,317
318 Townsville,1/11/09,27.79,318
319 Wide Bay,1/11/09,25.16,319
401 Adelaide - Central and Hills,1/11/09,47.95,401
402 Adelaide - North,1/11/09,24.72,402
403 Adelaide - South,1/11/09,31.94,403
404 Adelaide - West,1/11/09,30.41,404
405 Barossa - Yorke - Mid North,1/11/09,34.26,405
406 South Australia - Outback,1/11/09,25.79,406
407 South Australia - South East,1/11/09,37.65,407
502 Mandurah,1/11/09,23.86,502
503 Perth - Inner,1/11/09,48.01,503
504 Perth - North East,1/11/09,31.08,504
505 Perth - North West,1/11/09,30.43,505
506 Perth - South East,1/11/09,30.33,506
507 Perth - South West,1/11/09,31.79,507
501 Bunbury,1/11/09,27.88,501
508 Western Australia - Outback,1/11/09,27.01,508
509 Western Australia - Wheat Belt,1/11/09,33.68,509
601 Hobart,1/11/09,36.26,601
602 Launceston and North East,1/11/09,29.29,602
603 Tasmania - South East,1/11/09,31.49,603
604 Tasmania - West and North West,1/11/09,26.25,604
701 Darwin,1/11/09,34.98,701
702 Northern Territory - Outback,1/11/09,30.65,702
801 Australian Capital Territory,1/11/09,46.93,801
102 Central Coast,1/11/10,28.98,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/10,43.59,115
116 Sydney - Blacktown,1/11/10,28.6,116
117 Sydney - City and Inner South,1/11/10,49.99,117
118 Sydney - Eastern Suburbs,1/11/10,55.99,118
119 Sydney - Inner South West,1/11/10,29.53,119
120 Sydney - Inner West,1/11/10,50.78,120
121 Sydney - North Sydney and Hornsby,1/11/10,59.55,121
122 Sydney - Northern Beaches,1/11/10,49.47,122
123 Sydney - Outer South West,1/11/10,27.72,123
124 Sydney - Outer West and Blue Mountains,1/11/10,28.4,124
125 Sydney - Parramatta,1/11/10,32.49,125
126 Sydney - Ryde,1/11/10,45.61,126
127 Sydney - South West,1/11/10,21.94,127
128 Sydney - Sutherland,1/11/10,39.69,128
101 Capital Region,1/11/10,39.95,101
103 New South Wales - Central West,1/11/10,35.65,103
104 Coffs Harbour - Grafton,1/11/10,29.22,104
105 Far West and Orana,1/11/10,32.56,105
106 Hunter Valley exc Newcastle,1/11/10,23.35,106
107 Illawarra,1/11/10,31.31,107
108 Mid North Coast,1/11/10,29.25,108
109 Murray,1/11/10,34.65,109
110 New England and North West,1/11/10,33.26,110
111 Newcastle and Lake Macquarie,1/11/10,32.11,111
112 Richmond - Tweed,1/11/10,30.58,112
113 Riverina,1/11/10,23.9,113
114 Southern Highlands and Shoalhaven,1/11/10,34.27,114
206 Melbourne - Inner,1/11/10,55.74,206
207 Melbourne - Inner East,1/11/10,49.9,207
208 Melbourne - Inner South,1/11/10,47.31,208
209 Melbourne - North East,1/11/10,37.12,209
210 Melbourne - North West,1/11/10,25.05,210
211 Melbourne - Outer East,1/11/10,33.56,211
212 Melbourne - South East,1/11/10,29.07,212
213 Melbourne - West,1/11/10,29.39,213
214 Mornington Peninsula,1/11/10,29.94,214
201 Ballarat,1/11/10,29.78,201
202 Bendigo,1/11/10,34.68,202
203 Geelong,1/11/10,29.21,203
204 Hume,1/11/10,32.9,204
205 Latrobe - Gippsland,1/11/10,31.81,205
215 Victoria - North West,1/11/10,34.4,215
216 Shepparton,1/11/10,26.1,216
217 Warrnambool and South West,1/11/10,28.72,217
