Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
508 Western Australia - Outback,1/8/04,27.72,508
509 Western Australia - Wheat Belt,1/8/04,28.15,509
601 Hobart,1/8/04,34.35,601
602 Launceston and North East,1/8/04,32.87,602
603 Tasmania - South East,1/8/04,26.54,603
604 Tasmania - West and North West,1/8/04,30.79,604
701 Darwin,1/8/04,25.69,701
702 Northern Territory - Outback,1/8/04,31.49,702
801 Australian Capital Territory,1/8/04,25.82,801
102 Central Coast,1/8/05,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/05,27.03,115
116 Sydney - Blacktown,1/8/05,39.41,116
117 Sydney - City and Inner South,1/8/05,23.61,117
118 Sydney - Eastern Suburbs,1/8/05,42.43,118
119 Sydney - Inner South West,1/8/05,50.46,119
120 Sydney - Inner West,1/8/05,29.93,120
121 Sydney - North Sydney and Hornsby,1/8/05,45.87,121
122 Sydney - Northern Beaches,1/8/05,52.27,122
123 Sydney - Outer South West,1/8/05,44.11,123
124 Sydney - Outer West and Blue Mountains,1/8/05,26.53,124
125 Sydney - Parramatta,1/8/05,26.55,125
126 Sydney - Ryde,1/8/05,30.46,126
127 Sydney - South West,1/8/05,47.41,127
128 Sydney - Sutherland,1/8/05,22.3,128
101 Capital Region,1/8/05,32.28,101
103 New South Wales - Central West,1/8/05,29.84,103
104 Coffs Harbour - Grafton,1/8/05,30.98,104
105 Far West and Orana,1/8/05,26.35,105
106 Hunter Valley exc Newcastle,1/8/05,36.57,106
107 Illawarra,1/8/05,20.26,107
108 Mid North Coast,1/8/05,29.52,108
109 Murray,1/8/05,27.99,109
110 New England and North West,1/8/05,26.7,110
111 Newcastle and Lake Macquarie,1/8/05,31.74,111
112 Richmond - Tweed,1/8/05,32.92,112
113 Riverina,1/8/05,33.64,113
114 Southern Highlands and Shoalhaven,1/8/05,37.31,114
206 Melbourne - Inner,1/8/05,28.24,206
207 Melbourne - Inner East,1/8/05,48.77,207
208 Melbourne - Inner South,1/8/05,48.37,208
209 Melbourne - North East,1/8/05,46.53,209
210 Melbourne - North West,1/8/05,31.34,210
211 Melbourne - Outer East,1/8/05,22.48,211
212 Melbourne - South East,1/8/05,31.22,212
213 Melbourne - West,1/8/05,26.74,213
214 Mornington Peninsula,1/8/05,25.55,214
201 Ballarat,1/8/05,24.98,201
202 Bendigo,1/8/05,28.19,202
203 Geelong,1/8/05,31.74,203
204 Hume,1/8/05,28.76,204
205 Latrobe - Gippsland,1/8/05,35.75,205
215 Victoria - North West,1/8/05,30.87,215
216 Shepparton,1/8/05,31.43,216
217 Warrnambool and South West,1/8/05,26.68,217
301 Brisbane - East,1/8/05,34.63,301
302 Brisbane - North,1/8/05,24.85,302
303 Brisbane - South,1/8/05,30.65,303
304 Brisbane - West,1/8/05,34.84,304
305 Brisbane Inner City,1/8/05,47.66,305
310 Ipswich,1/8/05,47.56,310
311 Logan - Beaudesert,1/8/05,18.13,311
313 Moreton Bay - North,1/8/05,18.06,313
314 Moreton Bay - South,1/8/05,21.63,314
306 Cairns,1/8/05,27.6,306
307 Darling Downs - Maranoa,1/8/05,24.17,307
308 Fitzroy,1/8/05,33.09,308
309 Gold Coast,1/8/05,27.86,309
312 Mackay,1/8/05,28.8,312
315 Queensland - Outback,1/8/05,29.6,315
316 Sunshine Coast,1/8/05,25.29,316
317 Toowoomba,1/8/05,24.17,317
318 Townsville,1/8/05,28.21,318
319 Wide Bay,1/8/05,26.18,319
401 Adelaide - Central and Hills,1/8/05,28.61,401
402 Adelaide - North,1/8/05,43.65,402
403 Adelaide - South,1/8/05,21.24,403
404 Adelaide - West,1/8/05,29.67,404
405 Barossa - Yorke - Mid North,1/8/05,29.89,405
406 South Australia - Outback,1/8/05,33.31,406
407 South Australia - South East,1/8/05,30.59,407
